Eda Num, Real(Ohm), Image(Ohm), Conductance(uS), Phase(°)
212, 48125.3672, -142671.6250, 6.64144087, -71.3599
213, 48147.6875, -142839.3438, 6.63412476, -71.3723
214, 48267.9375, -142802.8125, 6.63395500, -71.3245
215, 48101.8359, -142721.1875, 6.63970137, -71.3745
216, 35595.3984, -78259.9453, 11.63132668, -65.5423
217, 35729.9766, -78362.8672, 11.61114407, -65.4891
218, 35629.5078, -78263.3359, 11.62899780, -65.5225
219, 35701.8828, -78484.3359, 11.59782600, -65.5396
220, 34732.0352, -77127.7266, 11.82211494, -65.7571
221, 34836.2852, -77170.8359, 11.81064510, -65.7047
222, 34795.8828, -77112.8828, 11.82033825, -65.7135
223, 34723.1797, -77118.5859, 11.82378769, -65.7600
224, 35154.4805, -77612.7891, 11.73665142, -65.6320
225, 35118.7930, -77469.2422, 11.75672436, -65.6140
226, 35115.3125, -77346.0859, 11.77244663, -65.5818
227, 35206.9492, -77564.8672, 11.73967838, -65.5865
228, 35169.0156, -77603.9141, 11.73693752, -65.6206
229, 35215.0156, -77551.9453, 11.74084091, -65.5780
230, 35124.6367, -77603.0547, 11.73956871, -65.6476
231, 35117.8125, -77585.3203, 11.74218273, -65.6468
232, 35020.9844, -77439.3047, 11.76607704, -65.6657
233, 35128.1289, -77690.6328, 11.72838306, -65.6697
234, 35115.4180, -77574.8203, 11.74363899, -65.6454
235, 35113.5859, -77699.4766, 11.72809982, -65.6811
236, 35108.4609, -77628.8672, 11.73724651, -65.6646
237, 35077.3594, -77649.7891, 11.73638535, -65.6895
238, 34938.6484, -77634.4609, 11.74617100, -65.7703
239, 35042.7422, -77776.4453, 11.72245979, -65.7457
240, 34955.6562, -77843.2422, 11.71899986, -65.8175
241, 35003.5703, -77774.3203, 11.72493744, -65.7691
242, 34949.4766, -77767.2891, 11.72887039, -65.8003
243, 35029.8906, -77889.9922, 11.70897293, -65.7849
244, 35057.8359, -77867.0078, 11.71027374, -65.7614
245, 35066.1875, -78061.6953, 11.68550777, -65.8099
246, 35093.9219, -77988.8828, 11.69302845, -65.7729
247, 35091.0703, -78000.6172, 11.69172478, -65.7779
248, 34988.3164, -78084.9141, 11.68696785, -65.8638
249, 35085.9492, -78087.7109, 11.68116379, -65.8049
250, 34958.0625, -78147.1953, 11.68089581, -65.8993
251, 34999.7773, -78159.9453, 11.67698383, -65.8773
252, 35096.5469, -78207.3516, 11.66569996, -65.8312
253, 35048.2812, -78312.6953, 11.65531158, -65.8894
254, 35032.7148, -78244.0547, 11.66469479, -65.8802
255, 34992.9609, -78142.0859, 11.67958641, -65.8766
256, 35025.5195, -78212.3672, 11.66903210, -65.8759
257, 35072.7461, -78396.0859, 11.64362621, -65.8973
258, 35058.5820, -78382.6328, 11.64607525, -65.9022
259, 35094.1289, -78441.2891, 11.63685226, -65.8966
260, 35136.9297, -78409.3047, 11.63843632, -65.8618
261, 35156.0352, -78407.7422, 11.63757229, -65.8498
262, 35120.4297, -78593.9922, 11.61655617, -65.9221
263, 35183.0234, -78501.7891, 11.62446880, -65.8590
264, 35146.7969, -78624.2266, 11.61138248, -65.9143
265, 35199.5859, -78684.7266, 11.60103989, -65.8987
266, 35151.8438, -78695.5859, 11.60232735, -65.9306
267, 35140.7539, -78720.4141, 11.59988499, -65.9440
268, 35170.3594, -78875.6016, 11.57922935, -65.9681
269, 35135.0117, -78830.5703, 11.58667850, -65.9773
270, 35196.4531, -78769.1641, 11.59084606, -65.9235
271, 35335.6641, -78938.6328, 11.56249619, -65.8851
272, 35134.1992, -78925.7266, 11.57506466, -66.0035
273, 35071.0742, -78708.2891, 11.60519600, -65.9831
274, 35225.7969, -78910.5391, 11.57192707, -65.9439
275, 35156.7930, -78680.5234, 11.60390759, -65.9235
276, 35119.9727, -78912.1797, 11.57749844, -66.0085
277, 35083.7695, -78875.6484, 11.58394814, -66.0206
