Temp Num, Object(℃), Ambient(℃)
156, nan, 33.689
157, 34.155, 33.696
158, 34.136, 33.704
159, 34.129, 33.711
160, 34.152, 33.718
161, 34.152, 33.718
162, 34.172, 33.718
163, 34.162, 33.725
164, 34.142, 33.725
165, 34.162, 33.725
166, 34.182, 33.725
167, 34.202, 33.725
168, 34.162, 33.725
169, 34.165, 33.733
170, 34.189, 33.747
171, 34.139, 33.747
172, 34.107, 33.784
173, 34.133, 33.798
174, 34.133, 33.798
175, 34.133, 33.805
176, 34.113, 33.805
177, 34.113, 33.798
178, 34.173, 33.798
179, 34.182, 33.798
180, 34.159, 33.791
181, 34.173, 33.798
182, 34.182, 33.798
183, 34.182, 33.798
184, 34.173, 33.805
185, 34.215, 33.812
186, 34.235, 33.812
187, 34.215, 33.819
188, 34.209, 33.827
189, 34.209, 33.827
190, 34.209, 33.827
191, 34.229, 33.827
192, 34.229, 33.827
193, 34.209, 33.834
194, 34.222, 33.841
195, 34.252, 33.848
196, 34.262, 33.848
197, 34.212, 33.848
198, 34.216, 33.856
199, 34.226, 33.863
200, 34.249, 33.870
201, 34.262, 33.877
202, 34.252, 33.877
203, 34.262, 33.877
204, 34.252, 33.885
205, 34.265, 33.899
206, 34.295, 33.899
207, 34.285, 33.899
208, 34.305, 33.899
209, 34.315, 33.899
210, 34.308, 33.906
211, 34.298, 33.913
212, 34.289, 33.913
213, 34.298, 33.913
214, 34.289, 33.913
215, 34.308, 33.913
216, 34.318, 33.913
217, 34.321, 33.921
218, 34.331, 33.921
219, 34.341, 33.921
220, 34.341, 33.928
221, 34.351, 33.928
222, 34.341, 33.928
223, 34.354, 33.935
224, 34.354, 33.935
225, 34.354, 33.942
226, 34.358, 33.949
227, 34.368, 33.957
228, 34.391, 33.964
229, 34.371, 33.964
230, 34.371, 33.964
231, 34.414, 33.971
232, 34.404, 33.978
233, 34.355, 33.978
234, 34.365, 33.978
235, 34.398, 33.986
236, 34.398, 33.993
237, 34.388, 33.993
238, 34.388, 33.993
239, 34.431, 34.000
240, 34.431, 34.007
241, 34.401, 34.007
242, 34.391, 34.007
243, 34.401, 34.007
244, 34.401, 34.007
245, 34.414, 34.014
246, 34.424, 34.022
247, 34.467, 34.029
248, 34.477, 34.029
249, 34.447, 34.036
250, 34.418, 34.036
251, 34.418, 34.036
252, 34.441, 34.043
253, 34.464, 34.051
254, 34.474, 34.051
255, 34.444, 34.051
256, 34.454, 34.058
257, 34.467, 34.065
258, 34.457, 34.065
259, 34.457, 34.065
260, 34.457, 34.065
261, 34.477, 34.072
262, 34.490, 34.079
263, 34.461, 34.079
264, 34.481, 34.079
265, 34.510, 34.079
266, 34.510, 34.087
267, 34.504, 34.094
268, 34.494, 34.094
269, 34.523, 34.094
270, 34.523, 34.094
271, 34.494, 34.101
272, 34.474, 34.101
273, 34.507, 34.108
274, 34.507, 34.116
275, 34.497, 34.116
276, 34.507, 34.116
277, 34.517, 34.116
278, 34.497, 34.116
279, 34.520, 34.123
280, 34.553, 34.130
281, 34.553, 34.137
282, 34.553, 34.137
283, 34.563, 34.137
284, 34.557, 34.145
285, 34.547, 34.145
286, 34.557, 34.145
287, 34.557, 34.152
288, 34.537, 34.152
289, 34.547, 34.152
290, 34.570, 34.159
291, 34.590, 34.159
292, 34.599, 34.159
293, 34.590, 34.166
294, 34.570, 34.166
295, 34.560, 34.166
296, 34.570, 34.166
297, 34.573, 34.173
298, 34.583, 34.181
299, 34.593, 34.181
300, 34.583, 34.181
301, 34.573, 34.181
302, 34.563, 34.181
303, 34.587, 34.188
304, 34.596, 34.195
305, 34.610, 34.202
306, 34.610, 34.202
307, 34.600, 34.202
308, 34.590, 34.210
309, 34.610, 34.210
310, 34.600, 34.210
311, 34.619, 34.210
312, 34.639, 34.210
313, 34.633, 34.217
314, 34.636, 34.224
315, 34.656, 34.231
316, 34.626, 34.231
317, 34.616, 34.231
318, 34.646, 34.231
319, 34.646, 34.231
320, 34.656, 34.231
321, 34.636, 34.231
322, 34.630, 34.238
323, 34.630, 34.238
324, 34.649, 34.238
325, 34.659, 34.246
326, 34.640, 34.246
327, 34.653, 34.253
328, 34.682, 34.260
329, 34.672, 34.260
330, 34.643, 34.260
331, 34.676, 34.267
332, 34.686, 34.267
333, 34.686, 34.267
334, 34.676, 34.275
335, 34.686, 34.275
336, 34.686, 34.275
337, 34.666, 34.275
338, 34.686, 34.275
339, 34.748, 34.282
340, 34.719, 34.289
341, 34.689, 34.289
342, 34.699, 34.289
343, 34.728, 34.289
344, 34.719, 34.289
345, 34.722, 34.296
346, 34.735, 34.303
