Temp Num, Object(℃), Ambient(℃)
277, nan, 34.498
278, 34.911, 34.498
279, 34.891, 34.498
280, 34.895, 34.505
281, 34.895, 34.512
282, 34.885, 34.512
283, 34.885, 34.512
284, 34.918, 34.519
285, 34.918, 34.519
286, 34.928, 34.519
287, 34.928, 34.527
288, 34.947, 34.527
289, 34.947, 34.527
290, 34.918, 34.527
291, 34.908, 34.527
292, 34.931, 34.534
293, 34.951, 34.534
294, 34.921, 34.534
295, 34.912, 34.541
296, 34.964, 34.548
297, 34.967, 34.556
298, 34.948, 34.563
299, 34.967, 34.563
300, 34.977, 34.563
301, 34.981, 34.570
302, 34.981, 34.577
303, 34.961, 34.577
304, 34.955, 34.584
305, 34.984, 34.592
306, 35.017, 34.599
307, 34.988, 34.606
308, 34.991, 34.613
309, 35.020, 34.613
310, 35.020, 34.620
311, 35.004, 34.628
312, 35.034, 34.628
313, 35.044, 34.635
314, 35.057, 34.642
315, 35.067, 34.642
316, 35.060, 34.649
317, 35.070, 34.657
318, 35.083, 34.664
319, 35.064, 34.664
320, 35.054, 34.671
321, 35.048, 34.678
322, 35.067, 34.678
323, 35.077, 34.686
324, 35.080, 34.693
325, 35.110, 34.693
326, 35.120, 34.700
327, 35.113, 34.707
328, 35.094, 34.714
329, 35.097, 34.722
330, 35.101, 34.729
331, 35.140, 34.736
332, 35.159, 34.736
333, 35.130, 34.736
334, 35.143, 34.743
335, 35.133, 34.751
336, 35.124, 34.751
337, 35.114, 34.751
338, 35.127, 34.765
339, 35.160, 34.772
340, 35.160, 34.772
341, 35.160, 34.779
342, 35.173, 34.787
343, 35.183, 34.787
344, 35.183, 34.794
345, 35.186, 34.801
346, 35.196, 34.801
347, 35.190, 34.808
348, 35.180, 34.816
349, 35.200, 34.816
350, 35.213, 34.823
351, 35.193, 34.830
352, 35.223, 34.830
353, 35.242, 34.830
354, 35.226, 34.844
355, 35.230, 34.852
356, 35.249, 34.852
357, 35.249, 34.852
358, 35.249, 34.859
359, 35.253, 34.866
360, 35.253, 34.866
361, 35.253, 34.866
362, 35.253, 34.873
363, 35.266, 34.880
364, 35.256, 34.888
365, 35.279, 34.895
366, 35.322, 34.902
367, 35.312, 34.909
368, 35.306, 34.917
369, 35.345, 34.917
