Acc Num, Acceleration1(mg), Acceleration2(mg), Acceleration3(mg), Angular Rate1(mdps), Angular Rate2(mdps), Angular Rate3(mdps)
3796, 50.7520, -470.4320, 884.2560, 455.0000, -455.0000, -1085.0000
3797, 50.8740, -470.0660, 884.6220, 210.0000, -735.0000, -875.0000
3798, 50.9960, -469.7000, 884.8660, 175.0000, -735.0000, -735.0000
3799, 51.2400, -469.4560, 884.9880, 980.0000, -945.0000, -875.0000
3800, 51.6060, -469.2120, 885.2320, 490.0000, -1225.0000, -630.0000
3801, 51.8500, -468.7240, 885.4760, -105.0000, -875.0000, -280.0000
3802, 52.0940, -468.4800, 885.4760, 595.0000, -630.0000, -525.0000
3803, 52.4600, -468.3580, 885.5980, 595.0000, -665.0000, -700.0000
3804, 52.7040, -467.9920, 885.7200, 35.0000, -420.0000, -490.0000
3805, 52.9480, -467.6260, 885.7200, -70.0000, -385.0000, -525.0000
3806, 53.1920, -467.6260, 885.9640, 210.0000, -665.0000, -875.0000
3807, 53.1920, -467.5040, 886.0860, 420.0000, -735.0000, -945.0000
3808, 53.4360, -467.3820, 886.0860, 280.0000, -840.0000, -875.0000
3809, 53.5580, -467.2600, 886.2080, 665.0000, -910.0000, -1050.0000
3810, 53.8020, -467.1380, 886.2080, -1155.0000, 385.0000, -420.0000
3811, 54.6560, -466.6500, 885.5980, -5985.0000, 3185.0000, 595.0000
3812, 54.1680, -467.1380, 885.5980, 7630.0000, -2870.0000, -2695.0000
3813, 53.3140, -467.3820, 886.9400, -700.0000, -3220.0000, -1085.0000
3814, 53.9240, -467.0160, 886.8180, 6195.0000, 3080.0000, -5250.0000
3815, 3.7820, -8.0520, 25.8640, 6720.0000, -4340.0000, -8225.0000
3816, 11.9560, -24.7660, 79.3000, 6790.0000, 1260.0000, -1960.0000
3817, 20.0080, -41.3580, 133.3460, -2415.0000, -385.0000, -2065.0000
3818, 27.5720, -56.6080, 185.1960, -2135.0000, -2135.0000, -210.0000
3819, 34.7700, -71.0040, 233.5080, -280.0000, -1715.0000, -595.0000
3820, 41.4800, -85.0340, 277.5500, 665.0000, 35.0000, -1120.0000
3821, 48.0680, -98.2100, 318.7860, -385.0000, 560.0000, -140.0000
3822, 54.1680, -110.0440, 358.0700, -1120.0000, 455.0000, 1085.0000
3823, 59.7800, -121.2680, 395.0360, -840.0000, 665.0000, 2730.0000
3824, 65.0260, -132.0040, 429.3180, -700.0000, 1015.0000, 3535.0000
3825, 70.0280, -142.2520, 461.6480, -665.0000, 1330.0000, 2730.0000
3826, 74.2980, -151.8900, 491.9040, 105.0000, 1365.0000, 2065.0000
3827, 77.7140, -160.9180, 520.6960, -350.0000, 280.0000, -35.0000
3828, 80.7640, -169.4580, 548.1460, 5495.0000, 210.0000, -1575.0000
3829, 83.9360, -177.8760, 572.7900, -280.0000, 70.0000, -1575.0000
3830, 87.4740, -185.1960, 596.5800, -3150.0000, -980.0000, -700.0000
3831, 90.2800, -191.6620, 619.3940, -770.0000, -945.0000, -560.0000
3832, 92.5980, -198.2500, 639.4020, -875.0000, 455.0000, -455.0000
3833, 95.2820, -204.7160, 658.3120, -490.0000, 245.0000, -210.0000
3834, 97.9660, -210.6940, 676.4900, 175.0000, -525.0000, -875.0000
3835, 100.1620, -216.1840, 693.9360, -35.0000, -770.0000, -1960.0000
3836, 101.7480, -221.4300, 710.0400, -490.0000, -630.0000, -2310.0000
3837, 103.5780, -226.3100, 724.5580, -665.0000, 105.0000, -1610.0000
3838, 106.0180, -230.9460, 738.4660, -630.0000, -350.0000, -1085.0000
3839, 107.9700, -235.2160, 751.7640, -490.0000, -280.0000, -875.0000
3840, 108.9460, -239.2420, 763.9640, -1330.0000, 70.0000, -1155.0000
3841, 110.0440, -243.3900, 775.4320, -980.0000, 35.0000, -665.0000
3842, 111.8740, -247.4160, 786.2900, -420.0000, 105.0000, 385.0000
3843, 113.5820, -250.8320, 796.2940, -910.0000, 245.0000, 315.0000
3844, 114.8020, -254.2480, 805.4440, -735.0000, 525.0000, -105.0000
3845, 115.6560, -257.7860, 814.2280, 280.0000, 175.0000, -490.0000
3846, 116.5100, -260.9580, 822.6460, 35.0000, -140.0000, -490.0000
3847, 117.4860, -263.6420, 830.6980, -420.0000, -385.0000, -1260.0000
3848, 118.3400, -266.4480, 838.1400, 385.0000, -455.0000, -1120.0000
3849, 118.9500, -269.3760, 844.8500, 1190.0000, -350.0000, -560.0000
3850, 119.5600, -271.9380, 851.0720, 0.0000, -385.0000, -210.0000
3851, 120.4140, -274.0120, 856.6840, 210.0000, 315.0000, 140.0000
3852, 121.0240, -276.0860, 862.0520, 735.0000, 490.0000, 315.0000
3853, 121.3900, -278.0380, 867.4200, -490.0000, 1050.0000, 980.0000
3854, 122.0000, -279.5020, 872.1780, -35.0000, 1820.0000, 1750.0000
3855, 122.7320, -281.4540, 876.5700, 315.0000, 1785.0000, 1995.0000
3856, 122.9760, -283.4060, 881.0840, 1435.0000, 1610.0000, 1505.0000
3857, 122.6100, -285.3580, 885.3540, 1960.0000, 525.0000, 735.0000
3858, 122.1220, -287.0660, 889.6240, 2030.0000, -140.0000, 245.0000
3859, 122.2440, -288.5300, 893.2840, 3010.0000, 1085.0000, -175.0000
3860, 122.6100, -290.2380, 896.3340, 6055.0000, 2695.0000, -1610.0000
3861, 122.7320, -291.8240, 899.2620, 7910.0000, 2730.0000, -980.0000
3862, 122.3660, -293.4100, 902.5560, 14350.0000, 3080.0000, -770.0000
3863, 122.2440, -295.4840, 905.6060, 26775.0000, 4970.0000, -3535.0000
3864, 122.0000, -298.2900, 908.9000, 49665.0000, 7245.0000, -9450.0000
3865, 121.0240, -299.3880, 913.4140, 61390.0000, 7665.0000, -16520.0000
3866, 119.3160, -295.4840, 918.7820, 61215.0000, 8050.0000, -17395.0000
3867, 117.1200, -286.2120, 923.5400, 62265.0000, 11410.0000, -16135.0000
3868, 115.2900, -271.8160, 927.0780, 41090.0000, 10185.0000, -9695.0000
3869, 113.3380, -254.9800, 930.3720, 21070.0000, 10570.0000, -8540.0000
3870, 111.5080, -242.2920, 933.0560, 31535.0000, 12040.0000, -12985.0000
3871, 109.3120, -232.6540, 936.4720, 37275.0000, 10430.0000, -13965.0000
3872, 107.2380, -220.5760, 941.8400, 30275.0000, 7910.0000, -14805.0000
3873, 105.7740, -207.6440, 947.0860, 41790.0000, 7980.0000, -13860.0000
3874, 104.3100, -193.4920, 949.7700, 39235.0000, 6090.0000, -7560.0000
3875, 102.3580, -175.6800, 951.9660, 14840.0000, 3360.0000, -665.0000
3876, 100.7720, -159.6980, 953.6740, 18550.0000, 2695.0000, 2205.0000
