Temp Num, Object(℃), Ambient(℃)
0, nan, 32.562
1, 32.750, 32.569
2, 32.764, 32.577
3, 32.764, 32.584
4, 32.777, 32.591
5, 32.767, 32.598
6, 32.760, 32.605
7, 32.760, 32.613
8, 32.760, 32.613
9, 32.760, 32.613
10, 32.773, 32.620
11, 32.797, 32.627
12, 32.807, 32.634
13, 32.830, 32.642
14, 32.810, 32.642
15, 32.800, 32.649
16, 32.813, 32.656
17, 32.817, 32.670
18, 32.817, 32.678
19, 32.807, 32.678
20, 32.820, 32.685
21, 32.820, 32.692
22, 32.813, 32.699
23, 32.817, 32.714
24, 32.850, 32.721
25, 32.850, 32.721
26, 32.820, 32.728
27, 32.833, 32.736
28, 32.863, 32.736
29, 32.843, 32.743
30, 32.846, 32.750
31, 32.856, 32.757
32, 32.870, 32.765
33, 32.870, 32.772
34, 32.873, 32.779
35, 32.873, 32.786
36, 32.903, 32.786
37, 32.906, 32.793
38, 32.910, 32.801
39, 32.939, 32.808
40, 32.943, 32.815
41, 32.933, 32.822
42, 32.936, 32.830
43, 32.936, 32.837
44, 32.949, 32.844
45, 32.959, 32.851
46, 32.973, 32.858
47, 32.953, 32.866
48, 32.956, 32.873
49, 32.959, 32.880
50, 32.949, 32.880
51, 32.979, 32.887
52, 32.983, 32.895
53, 32.986, 32.909
54, 33.006, 32.916
55, 33.006, 32.916
56, 33.009, 32.924
57, 33.009, 32.931
58, 32.999, 32.931
59, 33.003, 32.938
60, 33.003, 32.945
61, 33.006, 32.952
62, 33.009, 32.960
63, 33.019, 32.960
64, 33.019, 32.960
65, 33.039, 32.960
66, 33.059, 32.960
67, 33.049, 32.967
68, 33.052, 32.974
69, 33.082, 32.981
70, 33.112, 32.981
71, 33.125, 32.988
72, 33.125, 32.988
73, 33.112, 32.981
74, 33.135, 32.989
75, 33.115, 32.996
76, 33.139, 33.003
77, 33.202, 33.017
78, 33.182, 33.017
79, 33.142, 33.017
80, 33.142, 33.025
81, 33.155, 33.032
82, 33.155, 33.032
83, 33.145, 33.039
84, 33.179, 33.046
85, 33.188, 33.046
86, 33.172, 33.054
87, 33.162, 33.061
88, 33.182, 33.061
89, 33.182, 33.061
90, 33.225, 33.068
91, 33.218, 33.082
92, 33.189, 33.082
93, 33.198, 33.082
94, 33.198, 33.090
95, 33.192, 33.097
96, 33.202, 33.104
97, 33.222, 33.104
98, 33.212, 33.104
99, 33.215, 33.111
100, 33.235, 33.119
101, 33.258, 33.126
102, 33.238, 33.126
103, 33.258, 33.126
104, 33.272, 33.133
105, 33.242, 33.140
106, 33.225, 33.148
107, 33.215, 33.155
108, 33.219, 33.162
109, 33.229, 33.169
110, 33.229, 33.169
111, 33.222, 33.176
112, 33.212, 33.184
113, 33.222, 33.184
114, 33.232, 33.184
115, 33.235, 33.191
116, 33.235, 33.198
117, 33.258, 33.205
118, 33.239, 33.205
119, 33.222, 33.213
120, 33.212, 33.220
121, 33.225, 33.227
122, 33.235, 33.227
123, 33.245, 33.227
124, 33.245, 33.234
125, 33.259, 33.241
126, 33.269, 33.249
127, 33.282, 33.256
128, 33.272, 33.263
129, 33.272, 33.263
130, 33.252, 33.263
131, 33.275, 33.278
132, 33.298, 33.285
133, 33.269, 33.285
134, 33.242, 33.292
135, 33.232, 33.299
136, 33.222, 33.299
137, 33.265, 33.306
138, 33.275, 33.314
139, 33.246, 33.314
140, 33.256, 33.314
141, 33.289, 33.321
142, 33.279, 33.321
143, 33.289, 33.321
144, 33.299, 33.328
145, 33.282, 33.335
