Eda Num, Real(Ohm), Image(Ohm), Conductance(uS), Phase(°)
4300, 188902.2188, -614063.6875, 1.55651057, -72.9007
4301, 188575.5938, -613711.0000, 1.55756068, -72.9193
4302, 188380.5625, -613453.7500, 1.55829656, -72.9292
4303, 188279.0000, -613467.1250, 1.55833781, -72.9382
4304, 49539.5508, -54101.9609, 13.63204098, -47.5206
4305, 49539.1445, -54115.0703, 13.63029480, -47.5277
4306, 49601.5664, -54089.3984, 13.62597847, -47.4783
4307, 49567.5000, -54218.3047, 13.61261177, -47.5658
4308, 49507.2383, -54213.8047, 13.62076378, -47.5981
4309, 49517.7031, -54257.4766, 13.61347485, -47.6151
4310, 49519.1328, -54337.6641, 13.60232544, -47.6564
4311, 49532.6172, -54493.3672, 13.57937908, -47.7302
4312, 49350.6133, -54246.1484, 13.63592052, -47.7055
4313, 49337.8516, -54244.8047, 13.63770103, -47.7122
4314, 49404.6602, -54361.8984, 13.61327362, -47.7351
4315, 49390.2734, -54456.2109, 13.60213375, -47.7928
4316, 49383.3281, -54457.0078, 13.60288906, -47.7973
4317, 49327.5430, -54546.2891, 13.59757423, -47.8762
4318, 49339.5547, -54540.6953, 13.59685040, -47.8663
4319, 49336.8164, -54602.8828, 13.58866692, -47.9004
4320, 49316.7188, -54648.7578, 13.58486843, -47.9359
4321, 49331.8984, -54670.9297, 13.57995510, -47.9387
4322, 49320.2383, -54766.5859, 13.56830215, -47.9953
4323, 49288.6992, -54761.7109, 13.57285595, -48.0110
4324, 49134.0586, -54512.0078, 13.62631226, -47.9703
4325, 49094.1523, -54494.0078, 13.63375854, -47.9840
4326, 49106.6484, -54505.2422, 13.63065338, -47.9826
4327, 49084.1328, -54467.0703, 13.63872910, -47.9757
4328, 49071.9883, -54509.1328, 13.63442707, -48.0048
4329, 49098.8398, -54598.7891, 13.61871624, -48.0360
4330, 49082.3320, -54589.3984, 13.62205982, -48.0407
4331, 49153.1328, -54632.0547, 13.60740471, -48.0219
4332, 49205.3281, -54671.1797, 13.59556484, -48.0121
4333, 49161.1523, -54628.3359, 13.60692310, -48.0153
4334, 49138.0000, -54609.8672, 13.61233521, -48.0191
4335, 49157.3633, -54720.1641, 13.59476089, -48.0654
