Eda Num, Real(Ohm), Image(Ohm), Conductance(uS), Phase(°)
272, 162355.8750, -611141.5000, 1.58142877, -75.1225
273, 162512.5312, -609525.8750, 1.58524168, -75.0710
274, 163745.5000, -609407.1875, 1.58472896, -74.9601
275, 163625.8750, -609039.1250, 1.58570015, -74.9619
276, 43835.8008, -53252.2266, 14.49827099, -50.5397
277, 43773.8164, -53343.8516, 14.49166775, -50.6278
278, 43856.4180, -53578.1797, 14.44277668, -50.6980
279, 43819.8086, -53782.9766, 14.41457367, -50.8285
280, 43830.4414, -54213.3047, 14.34410286, -51.0451
281, 43835.3633, -54424.6797, 14.30970383, -51.1509
282, 43854.7852, -54674.3203, 14.26749325, -51.2666
283, 43748.3750, -54945.1953, 14.23800278, -51.4726
284, 43090.3047, -54564.8047, 14.38277054, -51.7015
285, 43129.6562, -54853.6641, 14.33098507, -51.8232
286, 42926.6289, -54669.4297, 14.38671398, -51.8609
287, 42949.5859, -54911.1484, 14.34452820, -51.9687
288, 42853.8477, -54952.3516, 14.34997559, -52.0516
289, 42847.8828, -54973.2109, 14.34734249, -52.0660
290, 42823.1016, -55103.4766, 14.32933712, -52.1478
291, 42813.8398, -55079.1016, 14.33445740, -52.1415
292, 42841.7578, -55121.9453, 14.32399464, -52.1450
293, 42735.4023, -55043.8516, 14.35008144, -52.1747
294, 42742.2109, -54908.9922, 14.37117767, -52.1021
295, 42672.7305, -54921.4453, 14.37796116, -52.1536
296, 42665.9883, -55026.0547, 14.36174965, -52.2108
297, 42633.8516, -54977.9141, 14.37366772, -52.2074
298, 42532.8047, -54955.8359, 14.39007759, -52.2621
299, 42661.1055, -55007.0234, 14.36546993, -52.2044
300, 42570.8086, -55050.4297, 14.36979866, -52.2850
301, 42557.1016, -55050.9766, 14.37144089, -52.2942
302, 42545.7656, -55113.2422, 14.36270046, -52.3329
303, 42445.8125, -54976.9922, 14.39763355, -52.3295
304, 42400.1445, -54966.3828, 14.40516090, -52.3540
305, 42381.8867, -54954.7266, 14.40939236, -52.3601
306, 42452.4062, -54969.8828, 14.39796352, -52.3216
307, 42400.1445, -54966.3828, 14.40516090, -52.3540
308, 42400.3906, -54936.2266, 14.41008663, -52.3386
309, 42280.5508, -54844.7578, 14.44038773, -52.3709
310, 42314.6992, -54954.4609, 14.41795540, -52.4039
311, 42309.3281, -55032.8359, 14.40573406, -52.4469
312, 42278.2148, -54931.1172, 14.42643166, -52.4160
313, 42222.3086, -54861.9297, 14.44496346, -52.4178
314, 42253.6719, -54896.4141, 14.43527699, -52.4146
315, 42229.9648, -54808.2734, 14.45286465, -52.3856
316, 42304.0977, -54852.1172, 14.43617630, -52.3592
317, 42251.4805, -54760.9766, 14.45794487, -52.3476
318, 42198.8164, -54817.6016, 14.45529175, -52.4108
319, 42088.7500, -54720.3047, 14.48549271, -52.4339
320, 42099.0977, -55021.0234, 14.43428802, -52.5788
321, 42052.1250, -55174.8516, 14.41478157, -52.6868
322, 42135.6836, -55088.3359, 14.41853333, -52.5885
323, 42067.6484, -54861.8828, 14.46465778, -52.5193
324, 42096.2656, -54623.1016, 14.50070667, -52.3797
325, 42240.6680, -54467.8203, 14.50797081, -52.2058
326, 42346.6133, -54108.5703, 14.55406284, -51.9524
327, 42278.3984, -53825.1016, 14.61044788, -51.8512
328, 42362.9609, -53740.4609, 14.61348534, -51.7517
329, 42450.3086, -53693.5391, 14.60979271, -51.6700
330, 42473.0508, -53687.1641, 14.60785007, -51.6517
331, 42467.8047, -53595.4453, 14.62390518, -51.6075
332, 42570.0000, -53707.3984, 14.59163857, -51.5987
333, 42481.6172, -53697.6328, 14.60496330, -51.6516
334, 42500.3594, -53885.1172, 14.57118225, -51.7364
335, 42422.2461, -53733.9766, 14.60673332, -51.7094
336, 42417.7188, -53625.9453, 14.62544060, -51.6563
337, 42530.7266, -53122.1797, 14.69503689, -51.3185
338, 42610.2773, -52691.7422, 14.75694466, -51.0385
339, 42594.2891, -52299.6953, 14.82574844, -50.8397
340, 42694.9336, -52204.1484, 14.82803345, -50.7221
341, 42808.7539, -52426.6328, 14.77451134, -50.7668
342, 42820.3008, -52311.2109, 14.79244423, -50.6973
343, 42900.2656, -52597.2734, 14.73314095, -50.7981
344, 42759.2578, -52643.1172, 14.74475288, -50.9148
345, 42897.3828, -53245.1328, 14.62508965, -51.1431
346, 42812.9336, -52974.5703, 14.68168926, -51.0556
347, 43021.1211, -53210.7578, 14.61419582, -51.0443
348, 42777.4297, -53389.8203, 14.61703777, -51.2973
349, 42813.3984, -53494.8672, 14.59475040, -51.3288
350, 42802.1562, -53341.4297, 14.62180042, -51.2558
351, 42682.5156, -53469.8047, 14.61635685, -51.4012
