Temp Num, Object(℃), Ambient(℃)
182, nan, 33.343
183, 33.401, 33.343
184, 33.434, 33.350
185, 33.454, 33.357
186, 33.474, 33.357
187, 33.454, 33.357
188, 33.464, 33.357
189, 33.484, 33.350
190, 33.441, 33.343
191, 33.510, 33.335
192, 33.567, 33.321
193, 33.576, 33.321
194, 33.606, 33.321
195, 33.616, 33.321
196, 33.596, 33.328
197, 33.629, 33.335
198, 33.649, 33.335
199, 33.639, 33.335
200, 33.649, 33.335
201, 33.659, 33.342
202, 33.662, 33.350
203, 33.672, 33.357
204, 33.696, 33.364
205, 33.676, 33.364
206, 33.656, 33.364
207, 33.666, 33.371
208, 33.689, 33.379
209, 33.689, 33.379
210, 33.689, 33.379
211, 33.692, 33.386
212, 33.682, 33.393
213, 33.696, 33.400
214, 33.706, 33.400
215, 33.686, 33.400
216, 33.696, 33.408
217, 33.709, 33.415
218, 33.699, 33.422
219, 33.719, 33.422
220, 33.729, 33.422
221, 33.762, 33.436
222, 33.745, 33.444
223, 33.745, 33.444
224, 33.755, 33.444
225, 33.755, 33.451
226, 33.765, 33.451
227, 33.765, 33.451
228, 33.798, 33.458
229, 33.821, 33.465
230, 33.811, 33.465
231, 33.821, 33.473
232, 33.831, 33.473
233, 33.825, 33.480
234, 33.828, 33.494
235, 33.818, 33.494
236, 33.818, 33.494
237, 33.808, 33.501
238, 33.802, 33.516
239, 33.785, 33.523
240, 33.776, 33.530
241, 33.789, 33.538
242, 33.782, 33.545
243, 33.772, 33.552
244, 33.763, 33.552
245, 33.772, 33.552
246, 33.805, 33.559
247, 33.796, 33.567
248, 33.779, 33.574
249, 33.779, 33.581
250, 33.769, 33.581
251, 33.792, 33.588
252, 33.822, 33.596
253, 33.802, 33.596
254, 33.773, 33.596
255, 33.773, 33.596
256, 33.796, 33.603
257, 33.806, 33.610
258, 33.796, 33.610
259, 33.809, 33.617
260, 33.842, 33.624
261, 33.832, 33.624
262, 33.812, 33.624
263, 33.803, 33.632
264, 33.816, 33.639
265, 33.829, 33.653
266, 33.829, 33.661
267, 33.839, 33.661
268, 33.829, 33.661
269, 33.829, 33.661
270, 33.813, 33.668
271, 33.793, 33.675
272, 33.813, 33.675
273, 33.846, 33.682
274, 33.866, 33.689
275, 33.885, 33.689
276, 33.885, 33.689
277, 33.859, 33.697
278, 33.829, 33.704
279, 33.863, 33.711
