Temp Num, Object(℃), Ambient(℃)
0, nan, 34.888
1, 35.289, 34.895
2, 35.309, 34.895
3, 35.318, 34.895
4, 35.289, 34.895
5, 35.312, 34.902
6, 35.332, 34.910
7, 35.302, 34.910
8, 35.312, 34.910
9, 35.306, 34.924
10, 35.339, 34.931
11, 35.358, 34.931
12, 35.348, 34.931
13, 35.329, 34.931
14, 35.348, 34.931
15, 35.358, 34.931
16, 35.319, 34.931
17, 35.329, 34.931
18, 35.348, 34.931
19, 35.348, 34.938
20, 35.329, 34.938
21, 35.348, 34.938
22, 35.358, 34.938
23, 35.339, 34.938
24, 35.348, 34.938
25, 35.339, 34.938
26, 35.323, 34.946
27, 35.323, 34.946
28, 35.352, 34.946
29, 35.352, 34.953
30, 35.365, 34.960
31, 35.365, 34.960
32, 35.346, 34.960
33, 35.365, 34.960
34, 35.375, 34.967
35, 35.378, 34.975
36, 35.359, 34.975
37, 35.359, 34.975
38, 35.382, 34.989
39, 35.385, 34.996
40, 35.385, 34.996
41, 35.405, 34.996
42, 35.434, 34.996
43, 35.415, 35.003
44, 35.389, 35.011
45, 35.389, 35.011
46, 35.408, 35.011
47, 35.428, 35.018
48, 35.422, 35.025
49, 35.402, 35.025
50, 35.412, 35.025
51, 35.412, 35.032
52, 35.425, 35.040
53, 35.425, 35.040
54, 35.415, 35.040
55, 35.445, 35.040
56, 35.435, 35.047
57, 35.419, 35.054
58, 35.438, 35.054
59, 35.438, 35.054
60, 35.448, 35.054
61, 35.481, 35.061
62, 35.461, 35.068
63, 35.461, 35.068
64, 35.461, 35.068
65, 35.452, 35.068
66, 35.484, 35.076
67, 35.494, 35.083
68, 35.484, 35.083
69, 35.494, 35.083
70, 35.507, 35.090
71, 35.488, 35.090
72, 35.478, 35.090
73, 35.468, 35.090
74, 35.498, 35.090
75, 35.488, 35.097
76, 35.468, 35.097
77, 35.488, 35.097
78, 35.511, 35.105
79, 35.511, 35.105
80, 35.501, 35.105
81, 35.472, 35.112
82, 35.485, 35.119
83, 35.514, 35.119
84, 35.514, 35.119
85, 35.514, 35.119
86, 35.524, 35.119
87, 35.495, 35.126
88, 35.518, 35.133
89, 35.537, 35.133
90, 35.528, 35.133
91, 35.528, 35.133
92, 35.508, 35.133
93, 35.528, 35.133
94, 35.531, 35.141
95, 35.512, 35.141
96, 35.531, 35.141
97, 35.541, 35.148
98, 35.564, 35.155
99, 35.544, 35.155
100, 35.525, 35.155
101, 35.544, 35.155
102, 35.554, 35.155
103, 35.554, 35.155
104, 35.554, 35.155
105, 35.535, 35.162
106, 35.567, 35.170
107, 35.577, 35.170
108, 35.558, 35.170
109, 35.579, 35.250
110, 35.582, 35.264
111, 35.551, 35.191
112, 35.561, 35.184
113, 35.558, 35.177
114, 35.587, 35.177
115, 35.600, 35.184
116, 35.567, 35.177
117, 35.567, 35.177
118, 35.581, 35.184
119, 35.581, 35.184
120, 35.581, 35.184
121, 35.581, 35.184
122, 35.581, 35.184
123, 35.581, 35.191
124, 35.581, 35.191
125, 35.571, 35.191
126, 35.574, 35.198
127, 35.565, 35.198
128, 35.574, 35.198
129, 35.574, 35.198
130, 35.565, 35.198
131, 35.584, 35.198
132, 35.584, 35.206
133, 35.578, 35.213
134, 35.597, 35.213
135, 35.607, 35.213
136, 35.617, 35.213
137, 35.627, 35.213
138, 35.627, 35.213
139, 35.607, 35.213
140, 35.617, 35.220
141, 35.640, 35.227
142, 35.611, 35.227
143, 35.601, 35.227
144, 35.620, 35.227
145, 35.620, 35.227
146, 35.604, 35.235
147, 35.614, 35.235
148, 35.653, 35.235
149, 35.643, 35.235
150, 35.614, 35.235
151, 35.604, 35.235
152, 35.591, 35.227
153, 35.601, 35.227
154, 35.624, 35.235
155, 35.634, 35.235
156, 35.611, 35.227
157, 35.620, 35.227
158, 35.663, 35.235
159, 35.673, 35.235
160, 35.653, 35.235
161, 35.653, 35.235
162, 35.643, 35.235
163, 35.624, 35.242
164, 35.624, 35.242
165, 35.604, 35.242
166, 35.604, 35.242
167, 35.595, 35.242
168, 35.624, 35.242
169, 35.643, 35.242
170, 35.657, 35.249
171, 35.657, 35.249
172, 35.637, 35.249
173, 35.637, 35.249
174, 35.624, 35.242
175, 35.649, 35.330
176, 35.558, 35.358
177, 35.539, 35.365
178, 35.539, 35.358
179, 35.516, 35.351
180, 35.535, 35.344
181, 35.561, 35.337
182, 35.590, 35.329
