Eda Num, Real(Ohm), Image(Ohm), Conductance(uS), Phase(°)
238, 33388.9375, -128917.3047, 7.50914764, -75.4797
239, 33466.8047, -128872.3359, 7.51049948, -75.4425
240, 33372.9844, -128793.8516, 7.51611805, -75.4731
241, 33452.7812, -128898.5703, 7.50926638, -75.4511
242, 33456.0781, -128870.2266, 7.51076651, -75.4467
243, 33311.7656, -128697.2422, 7.52227354, -75.4882
244, 33580.3750, -128700.6797, 7.51826429, -75.3765
245, 33519.9062, -128691.1484, 7.51964760, -75.4007
246, 33422.4844, -128745.6328, 7.51805353, -75.4472
247, 33479.3281, -128888.1172, 7.50946045, -75.4389
248, 33523.7891, -128854.4609, 7.51066685, -75.4168
249, 33390.0938, -128683.6484, 7.52190590, -75.4540
250, 33465.0703, -128778.4141, 7.51565552, -75.4330
251, 33340.1406, -128836.4297, 7.51425505, -75.4913
252, 33237.6406, -128825.1641, 7.51631927, -75.5329
253, 33482.9688, -128755.1953, 7.51667070, -75.4230
254, 33354.0625, -128890.3984, 7.51110935, -75.4914
255, 33282.2031, -128575.8047, 7.52935171, -75.4874
256, 33393.1406, -128599.7109, 7.52646208, -75.4436
257, 33355.5234, -128712.5078, 7.52081680, -75.4715
258, 33338.4766, -128526.7891, 7.53124142, -75.4586
259, 33379.6953, -128657.1484, 7.52350521, -75.4555
260, 33325.8203, -129159.3203, 7.49684525, -75.5320
261, 33297.0391, -128772.2578, 7.51837492, -75.5024
262, 33393.0781, -128679.7891, 7.52207470, -75.4523
263, 33601.5391, -128729.2578, 7.51639938, -75.3708
264, 33450.8594, -128588.7578, 7.52624035, -75.4184
265, 33343.5469, -128512.2266, 7.53196907, -75.4549
266, 33534.7500, -128511.6797, 7.52926826, -75.3750
267, 33556.5781, -128892.0391, 7.50815058, -75.4072
