Eda Num, Real(Ohm), Image(Ohm), Conductance(uS), Phase(°)
288, 51574.9375, -301022.1250, 3.27430415, -80.2778
289, 50998.1211, -300216.5938, 3.28388524, -80.3591
290, 51359.6523, -301341.3438, 3.27132201, -80.3276
291, 51301.3477, -300622.8750, 3.27902460, -80.3158
292, 31999.0469, -139817.4375, 6.97192526, -77.1091
293, 32029.3438, -139944.2812, 6.96559238, -77.1086
294, 31962.9688, -139561.9062, 6.98444653, -77.1004
295, 31860.5938, -139386.8438, 6.99389791, -77.1247
296, 30523.1406, -136691.8125, 7.13988638, -77.4124
297, 30447.6719, -136753.4375, 7.13765860, -77.4480
298, 30468.1250, -136759.7500, 7.13711786, -77.4404
299, 30430.8828, -136755.1875, 7.13775730, -77.4549
300, 30955.5938, -137592.5312, 7.09060192, -77.3207
301, 31153.1016, -137598.8125, 7.08810854, -77.2430
302, 30963.2734, -137632.6250, 7.08855152, -77.3212
303, 30937.2500, -137557.1875, 7.09253883, -77.3248
304, 30990.4531, -137681.9375, 7.08583498, -77.3149
305, 30890.9531, -137539.4688, 7.09391928, -77.3416
306, 31042.8047, -137461.3438, 7.09607697, -77.2744
307, 30948.7344, -137485.5312, 7.09592962, -77.3139
308, 30878.9688, -137455.3125, 7.09818602, -77.3389
309, 30873.1797, -137396.5625, 7.10113955, -77.3359
310, 30976.5469, -137616.4375, 7.08919859, -77.3145
311, 31066.6875, -137440.4062, 7.09684038, -77.2631
312, 31082.8594, -137527.8750, 7.09236622, -77.2645
313, 30855.3594, -137517.0000, 7.09541512, -77.3537
314, 30909.9062, -137392.9062, 7.10091257, -77.3210
315, 30929.3359, -137402.1250, 7.10024452, -77.3141
316, 30965.0000, -137350.4062, 7.10239410, -77.2953
317, 31114.8438, -137587.8125, 7.08907270, -77.2572
318, 31072.5469, -137573.4688, 7.09024429, -77.2727
319, 31089.4688, -137445.5625, 7.09633350, -77.2545
320, 31093.8125, -137193.0312, 7.10870981, -77.2301
321, 31045.3906, -137375.7500, 7.10025501, -77.2657
322, 31401.3594, -138580.9688, 7.03759003, -77.2328
323, 31273.7500, -138354.3750, 7.04995298, -77.2629
324, 31299.6719, -138389.1562, 7.04798317, -77.2558
325, 31314.9609, -138578.4375, 7.03865671, -77.2666
326, 31294.5703, -138561.7812, 7.03968477, -77.2731
327, 31211.5391, -138630.0000, 7.03729296, -77.3118
328, 31437.0469, -138637.3125, 7.03447962, -77.2238
329, 31290.5000, -138558.4062, 7.03989220, -77.2744
330, 31470.8281, -138454.1250, 7.04295969, -77.1942
331, 31322.4219, -137656.0312, 7.08342505, -77.1811
332, 31113.1328, -137054.1250, 7.11534548, -77.2099
333, 31099.3047, -137211.0000, 7.10776329, -77.2295
334, 31072.4375, -136980.5312, 7.11943769, -77.2194
335, 31147.4062, -137283.9688, 7.10363340, -77.2170
336, 31329.3594, -137250.6875, 7.10323286, -77.1418
337, 31193.5000, -137153.3438, 7.10955000, -77.1869
338, 31251.1875, -137247.5000, 7.10426712, -77.1725
339, 31101.4375, -137084.9062, 7.11395741, -77.2173
340, 31230.7812, -137082.9375, 7.11260319, -77.1657
341, 31114.0156, -137283.6562, 7.10402107, -77.2302
342, 31193.0703, -137112.6562, 7.11156130, -77.1834
343, 31253.6406, -137162.0625, 7.10844612, -77.1638
344, 31193.5703, -137227.4375, 7.10589933, -77.1935
345, 31280.9844, -137285.2500, 7.10207558, -77.1641
346, 31273.3438, -137319.4062, 7.10048151, -77.1702
347, 31175.7656, -137051.5000, 7.11477280, -77.1847
348, 31335.2188, -137417.0000, 7.09499598, -77.1545
349, 31166.8594, -137293.1250, 7.10296488, -77.2101
350, 31132.0391, -137352.2500, 7.10044527, -77.2292
351, 31114.0469, -137357.7500, 7.10037613, -77.2368
352, 31183.0078, -136976.7812, 7.11838055, -77.1751
353, 31279.0625, -137048.4062, 7.11376381, -77.1434
354, 31313.4844, -137385.7812, 7.09677076, -77.1603
355, 31236.4688, -136993.5625, 7.11695004, -77.1553
356, 31176.8359, -137025.4688, 7.11604548, -77.1819
357, 30955.3828, -136770.6250, 7.13114405, -77.2471
358, 31085.4531, -136742.8438, 7.13105917, -77.1927
359, 31097.5156, -136752.6875, 7.13043451, -77.1888
360, 31089.2500, -136927.1250, 7.12188959, -77.2079
361, 31236.9531, -136853.0312, 7.12389135, -77.1424
362, 31194.6406, -137201.3750, 7.10717154, -77.1908
363, 30958.2188, -137021.5625, 7.11868763, -77.2685
364, 30990.0859, -136859.5000, 7.12634945, -77.2413
365, 31042.3906, -136902.2812, 7.12364483, -77.2243
366, 31023.0156, -136893.1250, 7.12431574, -77.2312
367, 30997.7578, -136973.2500, 7.12063456, -77.2485
368, 31098.9531, -137244.3750, 7.10612249, -77.2326
369, 30918.7812, -137332.7500, 7.10377550, -77.3121
370, 30836.8281, -137177.8750, 7.11231804, -77.3308
371, 30988.2031, -137173.9688, 7.11082745, -77.2703
372, 30955.6719, -137518.2500, 7.09424639, -77.3140
373, 31159.8047, -138261.1875, 7.05572224, -77.2995
374, 31295.3125, -138569.1875, 7.03931856, -77.2735
375, 31281.9141, -138435.8438, 7.04591608, -77.2669
376, 31108.5000, -138572.8125, 7.04117727, -77.3473
377, 31239.7266, -138537.3438, 7.04146481, -77.2925
378, 31190.0781, -138489.9062, 7.04430199, -77.3079
379, 31171.8906, -138570.2812, 7.04061127, -77.3222
380, 30961.2969, -138445.2188, 7.04895496, -77.3940
381, 31240.4531, -138469.9062, 7.04472017, -77.2863
382, 30992.6562, -138689.0938, 7.03681040, -77.4032
383, 31035.7109, -138669.8750, 7.03727388, -77.3845
384, 31078.5391, -138534.6250, 7.04335117, -77.3557
385, 31043.8906, -138410.9375, 7.04971981, -77.3585
386, 31145.0547, -137740.9062, 7.08124161, -77.2589
387, 30789.3281, -136883.0938, 7.12742567, -77.3234
388, 30784.7031, -137553.5938, 7.09439611, -77.3850
389, 30973.5156, -137999.9062, 7.07047844, -77.3498
390, 30798.1406, -137463.2500, 7.09868765, -77.3716
391, 30965.9375, -137546.9062, 7.09272575, -77.3125
392, 30941.6094, -137865.3125, 7.07739973, -77.3505
393, 30999.3750, -137960.1250, 7.07213640, -77.3361
394, 30958.1250, -137919.5000, 7.07457161, -77.3488
395, 30961.6562, -138030.8750, 7.06909847, -77.3573
396, 30746.6250, -137888.0625, 7.07842064, -77.4297
397, 30879.5625, -138106.0312, 7.06633091, -77.3964
398, 30879.8906, -137956.9375, 7.07359982, -77.3830
399, 30926.9062, -137602.7812, 7.09041595, -77.3330
400, 30837.6250, -137563.2812, 7.09333754, -77.3649
401, 30876.0000, -137689.5000, 7.08672476, -77.3609
402, 31041.2109, -137743.8125, 7.08224630, -77.3003
403, 30789.8984, -137835.4688, 7.08052111, -77.4079
404, 30938.6094, -137646.1875, 7.08815813, -77.3322
405, 30916.5391, -137648.3750, 7.08829403, -77.3411
406, 30936.6562, -137739.3125, 7.08361721, -77.3413
407, 30874.9844, -137641.3125, 7.08909798, -77.3570
408, 30993.3906, -137711.3750, 7.08436155, -77.3163
409, 30929.2891, -137740.0312, 7.08366346, -77.3443
410, 30917.7969, -138001.6562, 7.07100296, -77.3720
411, 31068.7891, -137834.0625, 7.07752895, -77.2974
412, 30990.9141, -137574.1562, 7.09111357, -77.3051
413, 31028.3438, -137726.5000, 7.08323526, -77.3038
414, 31041.2109, -137743.8125, 7.08224630, -77.3003
415, 30988.8438, -137815.9688, 7.07929277, -77.3274
416, 31027.4297, -137942.4375, 7.07269144, -77.3234
417, 31006.5859, -137769.5625, 7.08136797, -77.3163
418, 31173.8281, -137879.4062, 7.07415724, -77.2599
419, 30938.9375, -137687.0625, 7.08615112, -77.3357
420, 30903.7500, -137820.6250, 7.07999992, -77.3615
421, 31107.3828, -138109.6562, 7.06366444, -77.3067
422, 31064.6562, -137979.7188, 7.07046366, -77.3120
423, 31167.2188, -137962.0625, 7.07019758, -77.2699
424, 31003.3359, -137699.2500, 7.08484507, -77.3113
425, 31029.2734, -137923.6250, 7.07358980, -77.3210
426, 30975.7812, -137123.3750, 7.11346245, -77.2707
427, 30998.1406, -137013.8750, 7.11862135, -77.2520
428, 31084.9531, -137105.0625, 7.11314726, -77.2257
429, 31084.3125, -137319.9688, 7.10256529, -77.2452
430, 31119.6094, -137524.1875, 7.09213877, -77.2496
431, 31173.3906, -137210.9375, 7.10693789, -77.2001
432, 31081.5781, -136961.1562, 7.12029219, -77.2140
433, 31063.3594, -137147.9688, 7.11127138, -77.2381
434, 30978.3906, -136890.2188, 7.12495947, -77.2487
435, 30899.7031, -136953.4375, 7.12271023, -77.2857
436, 30962.3125, -136803.1875, 7.12945223, -77.2473
437, 31187.7344, -137242.8438, 7.10520649, -77.1973
438, 31042.4609, -137272.2500, 7.10537958, -77.2576
439, 31182.6094, -137265.5938, 7.10414362, -77.2013
440, 31075.0938, -137191.1875, 7.10901022, -77.2373
441, 31173.8594, -137325.8125, 7.10127878, -77.2102
442, 31218.6484, -137328.6875, 7.10063744, -77.1927
443, 31089.7969, -137337.9375, 7.10162020, -77.2447
444, 31065.5625, -137169.9375, 7.11016369, -77.2392
445, 31129.0000, -137174.6875, 7.10922098, -77.2144
446, 31060.4062, -137118.6250, 7.11275244, -77.2366
447, 31061.5000, -137092.6250, 7.11402321, -77.2339
