Acc Num, Acceleration1(mg), Acceleration2(mg), Acceleration3(mg), Angular Rate1(mdps), Angular Rate2(mdps), Angular Rate3(mdps)
77, -95.8920, -169.8240, 978.8060, 1785.0000, 1645.0000, -2345.0000
78, -96.2580, -169.2140, 978.9280, 1190.0000, 560.0000, -1680.0000
79, -96.5020, -168.4820, 979.1720, 525.0000, -665.0000, -1610.0000
80, -96.6240, -167.6280, 979.7820, 840.0000, -1400.0000, -1995.0000
81, -96.7460, -167.0180, 980.3920, -70.0000, -1540.0000, -2835.0000
82, -96.9900, -166.4080, 981.1240, 525.0000, -840.0000, -3395.0000
83, -97.2340, -166.0420, 982.7100, 1365.0000, -1890.0000, -2520.0000
84, -97.6000, -165.1880, 985.5160, 630.0000, -5040.0000, -175.0000
85, -97.7220, -164.5780, 989.7860, 4585.0000, -8225.0000, 245.0000
86, -95.8920, -166.6520, 1000.5220, 8890.0000, -12180.0000, -8085.0000
87, -90.5240, -165.7980, 1017.9680, -7910.0000, -17010.0000, -22330.0000
88, -73.4440, -166.4080, 1030.0460, 5880.0000, -26950.0000, -37730.0000
89, -50.9960, -169.3360, 1033.7061, 83510.0000, -29575.0000, -48440.0000
90, -36.8440, -166.6520, 1028.0940, 94220.0000, -28525.0000, -59885.0000
91, -26.1080, -153.2320, 1012.3560, 23415.0000, -13440.0000, -67585.0000
92, -14.6400, -129.4420, 1005.2800, -56140.0000, -9205.0000, -50890.0000
93, -2.1960, -116.7540, 1004.7920, -152355.0000, -46410.0000, -32690.0000
94, 11.1020, -123.9520, 994.5440, -101990.0000, -56980.0000, -9415.0000
95, 21.9600, -131.5160, 980.3920, -735.0000, -35875.0000, 21665.0000
96, 26.3520, -133.7120, 968.4360, 8295.0000, -21280.0000, 31045.0000
97, 22.5700, -138.8360, 959.7740, -6720.0000, -1995.0000, 35630.0000
98, 10.9800, -149.9380, 955.8700, -29960.0000, 1260.0000, 30030.0000
99, -4.3920, -166.5300, 953.7960, -11410.0000, 3290.0000, 21840.0000
100, -21.2280, -181.6580, 953.4300, 20020.0000, 7595.0000, 10115.0000
101, -35.5020, -191.5400, 956.8460, 13790.0000, 4480.0000, -2660.0000
102, -40.2600, -196.1760, 963.0680, -980.0000, -1855.0000, -6475.0000
103, -35.1360, -199.1040, 970.2660, -17990.0000, -6195.0000, -8820.0000
104, -21.8380, -203.8620, 977.2200, -20825.0000, -10115.0000, -8330.0000
105, -2.5620, -208.2540, 982.3440, -1085.0000, -11830.0000, -8645.0000
106, 17.5680, -209.2300, 984.1740, -9975.0000, -9065.0000, -10080.0000
107, 33.1840, -212.8900, 982.1000, -49315.0000, -10150.0000, -12775.0000
108, 43.3100, -223.9920, 977.7080, -23310.0000, -12040.0000, -10220.0000
109, 49.5320, -231.0680, 971.4860, 20930.0000, -7490.0000, -6475.0000
110, 53.1920, -232.8980, 963.6780, 14840.0000, -3500.0000, -3710.0000
111, 53.5580, -237.2900, 959.6520, 9030.0000, 210.0000, -4935.0000
112, 50.6300, -241.8040, 958.7980, 13825.0000, -1925.0000, -5845.0000
113, 44.7740, -243.6340, 957.3340, 19950.0000, -3885.0000, -4830.0000
114, 39.5280, -243.5120, 958.9200, 11445.0000, -8435.0000, -1505.0000
115, 39.7720, -243.3900, 964.2880, -10500.0000, -13020.0000, -4025.0000
116, 44.5300, -241.6820, 968.6800, -43295.0000, -14350.0000, -5600.0000
117, 50.1420, -240.0960, 966.8500, -75075.0000, -12740.0000, -3535.0000
118, 56.4860, -244.8540, 958.4320, -63175.0000, -245.0000, -7525.0000
119, 63.6840, -256.0780, 950.8680, -13510.0000, 17885.0000, -5810.0000
120, 71.2480, -268.2780, 947.8180, 8890.0000, 23275.0000, -1960.0000
121, 78.8120, -280.7220, 945.6220, -9380.0000, 18585.0000, -9205.0000
122, 84.0580, -293.0440, 945.0120, -9905.0000, 14630.0000, -14000.0000
123, 87.1080, -302.6820, 944.7680, 3745.0000, 6930.0000, -12740.0000
124, 89.3040, -308.6600, 943.1820, 8015.0000, 2520.0000, -10570.0000
125, 92.1100, -311.2220, 941.3520, -1295.0000, 3920.0000, -7350.0000
126, 96.7460, -314.1500, 938.4240, -4795.0000, 5880.0000, -4795.0000
127, 100.6500, -317.8100, 936.9600, 12005.0000, 8785.0000, 2380.0000
128, 100.8940, -322.3240, 939.0340, 6440.0000, 1085.0000, 4235.0000
129, 100.2840, -326.5940, 940.3760, 7840.0000, -5985.0000, 4865.0000
130, 101.7480, -330.0100, 939.1560, 3605.0000, -7035.0000, 3500.0000
131, 105.6520, -333.6700, 935.7400, -875.0000, -2590.0000, -910.0000
132, 108.8240, -338.1840, 933.4220, 13125.0000, 3325.0000, -3185.0000
133, 109.5560, -342.2100, 933.9100, 35175.0000, 1960.0000, -4340.0000
134, 110.0440, -341.1120, 934.0320, 33390.0000, 2310.0000, -5600.0000
135, 110.4100, -339.5260, 935.2520, 10605.0000, 3395.0000, -6510.0000
136, 111.3860, -340.3800, 936.8380, 5565.0000, 525.0000, -12110.0000
137, 113.0940, -337.8180, 937.9360, 18060.0000, 875.0000, -8050.0000
138, 114.3140, -331.9620, 939.1560, 2905.0000, -875.0000, -5460.0000
139, 115.6560, -326.9600, 937.9360, -9205.0000, 3150.0000, -1015.0000
140, 117.1200, -324.3980, 934.6420, -10115.0000, 8715.0000, 3255.0000
141, 117.6080, -325.7400, 934.6420, -7770.0000, 14350.0000, 3850.0000
142, 116.2660, -327.5700, 938.0580, -4235.0000, 10605.0000, 1260.0000
143, 114.4360, -327.2040, 940.7420, -13160.0000, 4865.0000, 1925.0000
144, 112.9720, -326.2280, 943.6700, -6475.0000, -4025.0000, 4235.0000
145, 112.6060, -325.1300, 946.1100, -20720.0000, -10150.0000, 6720.0000
146, 112.6060, -326.1060, 945.5000, -29855.0000, -10885.0000, 7280.0000
147, 110.7760, -330.6200, 942.0840, -34440.0000, -5845.0000, 4375.0000
148, 108.5800, -339.2820, 937.4480, -18830.0000, -2135.0000, -70.0000
149, 108.2140, -345.7480, 934.5200, 2555.0000, 1855.0000, -3430.0000
150, 108.5800, -347.9440, 934.0320, -1890.0000, 840.0000, -1680.0000
151, 108.8240, -350.9940, 933.3000, -6335.0000, -1680.0000, 630.0000
152, 108.8240, -355.2640, 931.7140, -6370.0000, -1085.0000, 1190.0000
153, 108.8240, -359.2900, 930.3720, -4620.0000, -1120.0000, 560.0000
