Temp Num, Object(℃), Ambient(℃)
194, nan, 33.010
195, 33.440, 33.017
196, 33.430, 33.017
197, 33.420, 33.017
198, 33.420, 33.025
199, 33.433, 33.032
200, 33.410, 33.017
201, 33.410, 33.017
202, 33.420, 33.025
203, 33.430, 33.025
204, 33.450, 33.025
205, 33.460, 33.025
206, 33.450, 33.025
207, 33.453, 33.032
208, 33.453, 33.039
209, 33.453, 33.039
210, 33.463, 33.039
211, 33.476, 33.046
212, 33.490, 33.053
213, 33.510, 33.053
214, 33.500, 33.053
215, 33.460, 33.061
216, 33.453, 33.068
217, 33.473, 33.075
218, 33.463, 33.075
219, 33.477, 33.082
220, 33.506, 33.090
221, 33.506, 33.090
222, 33.496, 33.090
223, 33.500, 33.097
224, 33.513, 33.111
225, 33.513, 33.118
226, 33.503, 33.118
227, 33.516, 33.126
228, 33.549, 33.133
229, 33.579, 33.140
230, 33.579, 33.140
231, 33.569, 33.140
232, 33.596, 33.162
233, 33.599, 33.176
234, 33.559, 33.176
235, 33.550, 33.176
236, 33.566, 33.169
237, 33.579, 33.176
238, 33.559, 33.184
239, 33.592, 33.191
240, 33.602, 33.191
241, 33.592, 33.191
242, 33.612, 33.191
243, 33.602, 33.198
244, 33.596, 33.205
245, 33.606, 33.205
246, 33.609, 33.212
247, 33.599, 33.220
248, 33.632, 33.227
249, 33.632, 33.234
250, 33.622, 33.234
251, 33.646, 33.241
252, 33.655, 33.241
253, 33.655, 33.248
254, 33.669, 33.256
255, 33.688, 33.256
256, 33.698, 33.256
257, 33.688, 33.263
258, 33.692, 33.270
259, 33.652, 33.277
260, 33.646, 33.285
261, 33.685, 33.285
262, 33.695, 33.285
263, 33.695, 33.292
264, 33.718, 33.299
265, 33.722, 33.306
266, 33.712, 33.306
267, 33.702, 33.306
268, 33.702, 33.314
269, 33.725, 33.321
270, 33.735, 33.328
271, 33.748, 33.335
272, 33.718, 33.335
273, 33.709, 33.342
274, 33.738, 33.342
275, 33.748, 33.335
276, 33.758, 33.342
277, 33.781, 33.350
278, 33.761, 33.357
279, 33.755, 33.364
280, 33.745, 33.364
281, 33.765, 33.371
282, 33.798, 33.379
283, 33.788, 33.379
284, 33.791, 33.386
285, 33.781, 33.393
286, 33.781, 33.393
287, 33.785, 33.400
288, 33.795, 33.408
289, 33.795, 33.408
290, 33.785, 33.408
291, 33.818, 33.415
292, 33.828, 33.422
293, 33.841, 33.429
294, 33.831, 33.429
295, 33.831, 33.429
296, 33.821, 33.436
297, 33.844, 33.444
298, 33.844, 33.444
299, 33.854, 33.451
300, 33.877, 33.458
301, 33.848, 33.458
302, 33.838, 33.458
303, 33.861, 33.465
304, 33.861, 33.473
305, 33.861, 33.473
306, 33.861, 33.473
307, 33.864, 33.480
308, 33.884, 33.480
309, 33.894, 33.480
310, 33.894, 33.480
311, 33.904, 33.480
312, 33.874, 33.487
313, 33.878, 33.501
314, 33.911, 33.509
315, 33.911, 33.509
316, 33.891, 33.516
317, 33.904, 33.523
318, 33.914, 33.523
319, 33.914, 33.523
320, 33.934, 33.530
321, 33.937, 33.538
322, 33.917, 33.538
323, 33.907, 33.538
324, 33.907, 33.538
325, 33.917, 33.538
326, 33.931, 33.545
327, 33.954, 33.559
328, 33.964, 33.566
329, 33.983, 33.566
330, 33.964, 33.566
331, 33.957, 33.574
332, 33.977, 33.574
333, 33.957, 33.574
334, 33.957, 33.581
335, 33.990, 33.588
336, 33.980, 33.588
337, 33.960, 33.588
338, 33.970, 33.595
339, 34.000, 33.595
340, 34.010, 33.595
341, 34.013, 33.610
342, 34.003, 33.610
343, 34.007, 33.617
344, 33.997, 33.624
345, 33.997, 33.624
346, 34.030, 33.632
347, 34.030, 33.632
348, 34.014, 33.639
349, 34.027, 33.653
350, 34.037, 33.653
351, 34.027, 33.653
352, 34.007, 33.653
353, 34.004, 33.646
354, 34.014, 33.639
355, 34.004, 33.646
356, 34.004, 33.646
357, 34.023, 33.646
358, 34.056, 33.653
359, 34.056, 33.660
360, 34.037, 33.660
361, 34.037, 33.660
362, 34.070, 33.668
363, 34.070, 33.675
364, 34.070, 33.675
365, 34.079, 33.675
366, 34.093, 33.682
367, 34.093, 33.689
368, 34.073, 33.689
369, 34.053, 33.689
370, 34.063, 33.689
371, 34.083, 33.689
372, 34.096, 33.697
373, 34.096, 33.704
374, 34.096, 33.704
375, 34.119, 33.711
376, 34.123, 33.718
377, 34.113, 33.718
378, 34.123, 33.718
379, 34.123, 33.725
380, 34.113, 33.725
381, 34.123, 33.725
382, 34.136, 33.733
383, 34.136, 33.740
384, 34.136, 33.740
385, 34.126, 33.740
386, 34.126, 33.740
387, 34.139, 33.747
388, 34.129, 33.754
389, 34.120, 33.754
390, 34.129, 33.754
391, 34.162, 33.761
392, 34.182, 33.761
393, 34.143, 33.761
394, 34.133, 33.769
395, 34.153, 33.769
396, 34.143, 33.769
397, 34.146, 33.776
398, 34.166, 33.783
399, 34.176, 33.783
400, 34.156, 33.783
401, 34.159, 33.790
402, 34.179, 33.790
403, 34.199, 33.790
404, 34.173, 33.798
405, 34.163, 33.798
406, 34.182, 33.798
407, 34.182, 33.805
408, 34.206, 33.812
409, 34.196, 33.812
410, 34.196, 33.812
411, 34.196, 33.819
412, 34.196, 33.819
413, 34.225, 33.819
414, 34.248, 33.827
415, 34.239, 33.827
416, 34.239, 33.827
417, 34.252, 33.841
418, 34.232, 33.841
419, 34.232, 33.841
420, 34.242, 33.848
421, 34.232, 33.848
422, 34.242, 33.848
423, 34.262, 33.848
424, 34.271, 33.848
425, 34.255, 33.855
426, 34.226, 33.863
427, 34.235, 33.863
428, 34.255, 33.863
429, 34.268, 33.870
430, 34.268, 33.870
431, 34.278, 33.870
432, 34.311, 33.877
433, 34.292, 33.877
434, 34.272, 33.877
435, 34.272, 33.884
436, 34.262, 33.884
437, 34.262, 33.884
438, 34.318, 33.906
439, 34.331, 33.921
440, 34.279, 33.913
441, 34.289, 33.906
442, 34.285, 33.899
443, 34.298, 33.906
444, 34.298, 33.913
445, 34.292, 33.920
446, 34.282, 33.920
447, 34.279, 33.913
448, 34.292, 33.921
449, 34.312, 33.928
450, 34.312, 33.928
451, 34.292, 33.928
452, 34.321, 33.928
453, 34.364, 33.935
454, 34.335, 33.942
455, 34.325, 33.942
