Acc Num, Acceleration1(mg), Acceleration2(mg), Acceleration3(mg), Angular Rate1(mdps), Angular Rate2(mdps), Angular Rate3(mdps)
1326, 154.5740, -724.0700, 670.3900, 3465.0000, 2555.0000, -1820.0000
1327, 153.1100, -724.4360, 669.7800, 1575.0000, 910.0000, 1505.0000
1328, 151.7680, -726.0220, 669.2920, -735.0000, -455.0000, 3780.0000
1329, 150.6700, -728.3400, 667.9500, 1750.0000, -1120.0000, 2520.0000
1330, 149.4500, -730.6580, 666.6080, 1925.0000, 805.0000, 1295.0000
1331, 147.6200, -732.7320, 665.6320, 1505.0000, 525.0000, -2100.0000
1332, 145.4240, -733.3420, 664.7780, 3045.0000, -280.0000, -2240.0000
1333, 143.5940, -733.3420, 664.2900, 315.0000, -1365.0000, 700.0000
1334, 142.6180, -734.3180, 663.4360, -2520.0000, -350.0000, 700.0000
1335, 142.3740, -734.9280, 663.0700, 2835.0000, -1225.0000, -700.0000
1336, 142.0080, -734.9280, 663.1920, 560.0000, -1785.0000, 350.0000
1337, 141.2760, -735.4160, 662.5820, -1925.0000, -1540.0000, 350.0000
1338, 140.6660, -736.6360, 661.7280, -945.0000, -1085.0000, 105.0000
1339, 139.9340, -737.9780, 660.8740, -455.0000, -1050.0000, -840.0000
1340, 139.2020, -738.9540, 659.7760, 735.0000, -455.0000, -980.0000
1341, 138.3480, -739.5640, 659.2880, 1190.0000, -105.0000, -840.0000
1342, 137.9820, -739.6860, 659.1660, 840.0000, -560.0000, -595.0000
1343, 137.6160, -739.6860, 658.9220, 140.0000, -805.0000, -70.0000
1344, 137.2500, -740.0520, 658.4340, -665.0000, -630.0000, 70.0000
1345, 136.5180, -740.9060, 658.0680, -560.0000, -455.0000, -175.0000
1346, 136.0300, -741.3940, 657.3360, -245.0000, -595.0000, -700.0000
1347, 135.2980, -742.4920, 656.9700, -5530.0000, 700.0000, -665.0000
1348, 134.8100, -742.9800, 656.7260, 6895.0000, -2310.0000, -770.0000
1349, 3.4160, -20.7400, 17.5680, 5320.0000, 2765.0000, -5110.0000
1350, 10.8580, -63.5620, 54.0460, 6545.0000, -4375.0000, -7630.0000
1351, 18.1780, -106.6280, 90.7680, 525.0000, -175.0000, -525.0000
1352, 25.1320, -147.0100, 125.5380, 630.0000, -280.0000, -595.0000
1353, 31.4760, -184.9520, 157.8680, 525.0000, -525.0000, -875.0000
1354, 37.3320, -220.6980, 188.3680, 2625.0000, 840.0000, -1400.0000
1355, 43.0660, -253.2720, 217.4040, 1365.0000, -1155.0000, -875.0000
1356, 48.6780, -283.8940, 244.1220, -1925.0000, -840.0000, 35.0000
1357, 53.8020, -313.5400, 269.0100, 350.0000, -560.0000, -280.0000
1358, 58.5600, -341.1120, 292.4340, 735.0000, -70.0000, -770.0000
1359, 62.8300, -366.6100, 314.5160, 490.0000, -70.0000, -805.0000
1360, 66.8560, -390.7660, 335.3780, 455.0000, -385.0000, -630.0000
1361, 70.7600, -413.3360, 354.8980, 595.0000, -490.0000, -945.0000
1362, 74.2980, -434.5640, 373.0760, 455.0000, -455.0000, -980.0000
1363, 77.7140, -454.3280, 390.2780, 280.0000, -630.0000, -875.0000
1364, 81.2520, -472.8720, 405.4060, 1050.0000, -945.0000, -665.0000
1365, 83.6920, -490.1960, 421.1440, 9765.0000, -350.0000, -770.0000
1366, 86.0100, -506.1780, 436.5160, -6125.0000, -1260.0000, -1260.0000
1367, 89.3040, -521.1840, 449.4480, -2415.0000, -1890.0000, -350.0000
1368, 91.9880, -536.0680, 461.5260, -105.0000, -1470.0000, -525.0000
1369, 94.4280, -549.7320, 472.8720, 385.0000, -1050.0000, -1015.0000
1370, 96.5020, -562.2980, 483.7300, 105.0000, -1155.0000, -945.0000
1371, 98.6980, -574.2540, 493.9780, 385.0000, -1575.0000, -875.0000
1372, 100.7720, -585.3560, 503.4940, 70.0000, -1610.0000, -910.0000
1373, 102.8460, -595.7260, 512.4000, -245.0000, -1505.0000, -945.0000
1374, 104.6760, -605.6080, 520.4520, 35.0000, -1225.0000, -1015.0000
1375, 106.3840, -614.7580, 528.2600, 630.0000, -1155.0000, -910.0000
1376, 108.0920, -623.2980, 535.7020, 245.0000, -1435.0000, -770.0000
1377, 109.8000, -631.4720, 542.5340, -35.0000, -1505.0000, -805.0000
1378, 111.3860, -639.1580, 548.6340, 175.0000, -1260.0000, -735.0000
1379, 112.7280, -646.4780, 554.4900, 630.0000, -945.0000, -770.0000
1380, 114.0700, -653.0660, 560.2240, 770.0000, -1050.0000, -840.0000
1381, 115.4120, -659.2880, 565.7140, 280.0000, -1330.0000, -840.0000
1382, 116.8760, -665.0220, 570.5940, 455.0000, -1295.0000, -840.0000
1383, 117.9740, -670.3900, 575.2300, 140.0000, -1120.0000, -735.0000
1384, 119.0720, -675.5140, 579.5000, 0.0000, -1120.0000, -770.0000
1385, 120.0480, -680.6380, 583.4040, 455.0000, -1155.0000, -1015.0000
1386, 121.0240, -685.1520, 587.1860, 560.0000, -1155.0000, -1050.0000
1387, 122.2440, -689.4220, 590.6020, 595.0000, -1015.0000, -910.0000
1388, 123.2200, -693.3260, 593.7740, 665.0000, -805.0000, -910.0000
1389, 124.0740, -696.9860, 596.9460, 280.0000, -805.0000, -805.0000
1390, 124.9280, -700.5240, 599.8740, 490.0000, -875.0000, -945.0000
1391, 125.7820, -703.8180, 602.5580, 595.0000, -805.0000, -945.0000
1392, 126.5140, -706.8680, 605.1200, 315.0000, -735.0000, -665.0000
1393, 127.2460, -709.7960, 607.5600, 455.0000, -735.0000, -735.0000
1394, 127.9780, -712.4800, 609.7560, 420.0000, -700.0000, -945.0000
1395, 128.7100, -715.0420, 611.8300, 385.0000, -700.0000, -875.0000
1396, 129.4420, -717.3600, 613.7820, 315.0000, -455.0000, -910.0000
1397, 129.9300, -719.6780, 615.6120, 175.0000, -350.0000, -630.0000
1398, 130.2960, -721.9960, 617.1980, 70.0000, -455.0000, -665.0000
1399, 130.7840, -724.0700, 618.6620, 1050.0000, -455.0000, -840.0000
1400, 131.3940, -725.6560, 620.3700, 910.0000, -385.0000, -665.0000
1401, 132.1260, -727.2420, 621.8340, 385.0000, -280.0000, -665.0000
1402, 132.4920, -728.8280, 623.1760, 315.0000, -35.0000, -735.0000
1403, 132.7360, -730.2920, 624.2740, 280.0000, 35.0000, -595.0000
1404, 132.9800, -732.0000, 625.4940, 455.0000, -210.0000, -490.0000
1405, 133.3460, -733.4640, 626.7140, 700.0000, -490.0000, -770.0000
1406, 133.7120, -734.5620, 627.8120, 805.0000, -490.0000, -840.0000
1407, 134.0780, -735.4160, 628.7880, 385.0000, -280.0000, -630.0000
1408, 134.3220, -736.6360, 629.7640, -70.0000, -175.0000, -525.0000
1409, 134.3220, -737.9780, 630.4960, 315.0000, -245.0000, -665.0000
1410, 134.4440, -739.0760, 631.2280, 665.0000, -245.0000, -840.0000
1411, 134.6880, -739.9300, 631.9600, 630.0000, -175.0000, -630.0000
1412, 134.9320, -740.6620, 632.6920, 560.0000, -140.0000, -490.0000
1413, 135.0540, -741.3940, 633.4240, 420.0000, -105.0000, -490.0000
1414, 135.1760, -742.2480, 634.1560, 315.0000, -105.0000, -560.0000
1415, 135.1760, -742.9800, 634.6440, 385.0000, -35.0000, -700.0000
1416, 135.1760, -743.5900, 635.1320, 175.0000, 105.0000, -700.0000
1417, 135.1760, -744.3220, 635.7420, -70.0000, 105.0000, -630.0000
1418, 135.1760, -745.0540, 636.2300, 525.0000, 35.0000, -735.0000
1419, 135.1760, -745.5420, 636.8400, 385.0000, 0.0000, -630.0000
1420, 135.1760, -746.1520, 637.2060, 280.0000, -140.0000, -665.0000
1421, 135.0540, -746.8840, 637.3280, 315.0000, 0.0000, -840.0000
1422, 135.0540, -747.2500, 637.6940, 1015.0000, 245.0000, -595.0000
1423, 135.0540, -747.7380, 638.1820, 490.0000, 70.0000, -525.0000
1424, 135.0540, -748.1040, 638.6700, 455.0000, -245.0000, -630.0000
1425, 134.9320, -748.4700, 638.7920, 700.0000, -175.0000, -630.0000
1426, 134.8100, -748.8360, 639.0360, 700.0000, 105.0000, -490.0000
1427, 134.5660, -749.0800, 639.5240, 840.0000, 35.0000, -420.0000
