Bvp Num, Bvp
4050, 176927, 56
4051, 176817, 56
4052, 176492, 56
4053, 176324, 56
4054, 176025, 56
4055, 499183, 56
4056, 216099, 56
4057, 140369, 56
4058, 120047, 56
4059, 114711, 56
4060, 113216, 56
4061, 112839, 56
4062, 112746, 56
4063, 112635, 56
4064, 112755, 56
4065, 112690, 56
4066, 112601, 56
4067, 112664, 56
4068, 112665, 56
4069, 112701, 56
4070, 112715, 56
4071, 112766, 56
4072, 112690, 56
4073, 112684, 56
4074, 112688, 56
4075, 112635, 56
4076, 112785, 56
4077, 112813, 56
4078, 112883, 56
4079, 112720, 56
4080, 112841, 56
4081, 112841, 56
4082, 1922887, 56
4083, 1877594, 56
4084, 1868871, 56
4085, 1865829, 56
4086, 1863809, 56
4087, 1863468, 56
4088, 1863570, 56
4089, 1863313, 56
4090, 1863222, 56
4091, 1863076, 56
4092, 1862903, 56
4093, 1862943, 56
4094, 1963665, 56
4095, 1990516, 56
4096, 1997674, 56
4097, 1999588, 56
4098, 2000310, 56
4099, 2000230, 56
4100, 2000207, 56
4101, 2000200, 56
4102, 2000228, 56
4103, 2000140, 56
4104, 2000474, 56
4105, 2000250, 56
4106, 1452043, 56
4107, 1227968, 56
4108, 1168082, 56
4109, 1152058, 56
4110, 1147908, 56
4111, 1146239, 56
4112, 1146051, 56
4113, 1145914, 56
4114, 1145625, 56
4115, 1145441, 56
4116, 1145307, 56
4117, 1144670, 56
4118, 725830, 56
4119, 613502, 56
4120, 583301, 56
4121, 575061, 56
4122, 573008, 56
4123, 572264, 56
4124, 571933, 56
4125, 571888, 56
4126, 571876, 56
4127, 571771, 56
4128, 571492, 56
4129, 571367, 56
4130, 571452, 56
4131, -1047170, 56
4132, -1481224, 56
4133, -1597780, 56
4134, -1629124, 56
4135, -1637603, 56
4136, -1639872, 56
4137, -1640662, 56
4138, -1640774, 56
4139, -1640915, 56
4140, -1641187, 56
4141, -1641426, 56
4142, -1641415, 56
4143, -369671, 56
4144, -28596, 56
4145, 62696, 56
4146, 87162, 56
4147, 93557, 56
4148, 95142, 56
4149, 95591, 56
4150, 95918, 56
4151, 95824, 56
4152, 95743, 56
4153, 95783, 56
4154, 96086, 56
4155, 96068, 56
4156, 96019, 56
4157, 96064, 56
4158, 95990, 56
4159, 96209, 56
4160, 96428, 56
4161, 96498, 56
4162, 96525, 56
4163, 96619, 56
4164, 96761, 56
4165, 96928, 56
4166, 96900, 56
4167, 96904, 56
4168, 97196, 56
4169, 97376, 56
4170, 97472, 56
4171, 97591, 56
4172, 97844, 56
4173, 98070, 56
4174, 98129, 56
4175, 98218, 119
4176, 98316, 119
4177, 98800, 119
4178, 98927, 119
4179, 99024, 119
4180, 99300, 119
4181, 99677, 119
4182, 99757, 119
4183, 100009, 119
4184, 100299, 119
4185, 100479, 119
4186, 100929, 119
4187, 100763, 119
4188, 101135, 119
4189, 101631, 119
4190, 101683, 119
4191, 102321, 119
4192, 102732, 119
4193, 102591, 119
4194, 102593, 119
4195, 102652, 119
4196, 102564, 119
4197, 102287, 119
4198, 102091, 119
4199, 101582, 119
4200, 101114, 119
4201, 100552, 119
4202, 99998, 119
4203, 99605, 119
4204, 99178, 119
4205, 98741, 119
4206, 98385, 119
4207, 97912, 119
4208, 97600, 119
4209, 97234, 119
4210, 96898, 119
4211, 96449, 119
4212, 96206, 119
4213, 95755, 119
4214, 95469, 119
4215, 95149, 119
4216, 94605, 119
4217, 94436, 119
4218, 94362, 119
4219, 94396, 119
4220, 94032, 119
4221, 93769, 119
4222, 93551, 119
4223, 93407, 119
4224, 93289, 119
4225, 93143, 119
4226, 92842, 119
4227, 92594, 119
4228, 92395, 119
4229, 92054, 119
4230, 91940, 119
4231, 91520, 119
4232, 91484, 119
4233, 91260, 119
4234, 91124, 119
4235, 90943, 119
4236, 91003, 119
4237, 90830, 119
4238, 90814, 119
4239, 90518, 119
4240, 90841, 119
4241, 90554, 119
4242, 90694, 119
4243, 90849, 119
4244, 90727, 119
4245, 90702, 119
4246, 90727, 119
4247, 90872, 119
4248, 90908, 119
4249, 90975, 119
4250, 91026, 119
4251, 91070, 119
4252, 91144, 119
4253, 91286, 119
4254, 91149, 119
4255, 91380, 119
4256, 91557, 119
4257, 91541, 119
4258, 91786, 119
4259, 91925, 119
4260, 91934, 119
4261, 92171, 119
4262, 92394, 119
4263, 92432, 119
4264, 92623, 119
4265, 92749, 119
4266, 92851, 119
4267, 92945, 119
4268, 93148, 119
4269, 93263, 119
4270, 93544, 119
4271, 93746, 119
4272, 93963, 119
4273, 94339, 119
4274, 94415, 119
4275, 94640, 86
4276, 94845, 86
4277, 95132, 86
4278, 95230, 86
4279, 95489, 86
4280, 95746, 86
4281, 96152, 86
4282, 96206, 86
4283, 96439, 86
4284, 96627, 86
4285, 96860, 86
4286, 96901, 86
4287, 97046, 86
4288, 96991, 86
4289, 96605, 86
4290, 96336, 86
4291, 95829, 86
4292, 95450, 86
4293, 94903, 86
4294, 94275, 86
4295, 93666, 86
4296, 93287, 86
4297, 92726, 86
4298, 92096, 86
4299, 91649, 86
4300, 91022, 86
4301, 90525, 86
4302, 90073, 86
4303, 89624, 86
4304, 88950, 86
4305, 88411, 86
4306, 88058, 86
4307, 87574, 86
4308, 87079, 86
4309, 86622, 86
4310, 86038, 86
4311, 85869, 86
4312, 85152, 86
4313, 84930, 86
4314, 84554, 86
4315, 84248, 86
4316, 83960, 86
4317, 83563, 86
4318, 83085, 86
4319, 82898, 86
4320, 82633, 86
4321, 82389, 86
4322, 82036, 86
4323, 81691, 86
4324, 81526, 86
4325, 81181, 86
4326, 80921, 86
4327, 80734, 86
4328, 80572, 86
4329, 80344, 86
4330, 80064, 86
4331, 79960, 86
