Temp Num, Object(℃), Ambient(℃)
352, 36.289, 35.885
353, 36.322, 35.892
354, 36.312, 35.892
355, 36.312, 35.892
356, 36.322, 35.892
357, 36.335, 35.900
358, 36.325, 35.907
359, 36.316, 35.907
360, 36.329, 35.914
361, 36.339, 35.921
362, 36.339, 35.921
363, 36.339, 35.921
364, 36.362, 35.928
365, 36.352, 35.936
366, 36.342, 35.936
367, 36.342, 35.936
368, 36.365, 35.943
369, 36.356, 35.943
370, 36.356, 35.950
371, 36.369, 35.957
372, 36.369, 35.957
373, 36.369, 35.957
374, 36.369, 35.957
375, 36.369, 35.965
376, 36.363, 35.972
377, 36.363, 35.972
378, 36.382, 35.972
379, 36.405, 35.979
380, 36.395, 35.979
381, 36.386, 35.979
382, 36.409, 35.993
383, 36.409, 36.001
384, 36.409, 36.001
385, 36.428, 36.001
386, 36.451, 36.008
387, 36.431, 36.015
388, 36.422, 36.015
389, 36.431, 36.015
390, 36.454, 36.022
391, 36.445, 36.022
392, 36.435, 36.030
393, 36.458, 36.037
394, 36.425, 36.030
395, 36.416, 36.030
396, 36.458, 36.037
397, 36.448, 36.044
398, 36.452, 36.051
399, 36.442, 36.051
400, 36.442, 36.051
401, 36.465, 36.059
402, 36.484, 36.066
403, 36.465, 36.066
404, 36.455, 36.066
405, 36.465, 36.066
406, 36.488, 36.073
407, 36.498, 36.080
408, 36.507, 36.080
409, 36.498, 36.080
410, 36.501, 36.087
411, 36.501, 36.095
412, 36.492, 36.095
413, 36.501, 36.095
414, 36.515, 36.102
415, 36.495, 36.102
416, 36.505, 36.102
417, 36.515, 36.109
418, 36.537, 36.116
419, 36.528, 36.116
420, 36.518, 36.123
421, 36.551, 36.131
422, 36.541, 36.131
423, 36.541, 36.131
424, 36.531, 36.131
425, 36.522, 36.131
426, 36.531, 36.138
427, 36.535, 36.145
428, 36.548, 36.152
429, 36.558, 36.152
430, 36.558, 36.159
431, 36.552, 36.167
432, 36.533, 36.167
433, 36.533, 36.167
434, 36.562, 36.167
435, 36.581, 36.174
436, 36.594, 36.181
437, 36.594, 36.181
438, 36.594, 36.188
439, 36.627, 36.196
440, 36.617, 36.196
441, 36.607, 36.196
442, 36.598, 36.203
443, 36.611, 36.210
444, 36.621, 36.210
445, 36.601, 36.210
446, 36.611, 36.217
447, 36.624, 36.225
448, 36.628, 36.232
449, 36.647, 36.232
450, 36.657, 36.232
451, 36.666, 36.232
452, 36.637, 36.232
453, 36.628, 36.239
454, 36.641, 36.246
455, 36.651, 36.246
456, 36.651, 36.253
457, 36.645, 36.261
458, 36.645, 36.268
459, 36.664, 36.268
460, 36.674, 36.268
461, 36.687, 36.275
462, 36.677, 36.275
463, 36.639, 36.275
464, 36.648, 36.282
465, 36.681, 36.290
466, 36.700, 36.290
467, 36.729, 36.290
468, 36.729, 36.297
469, 36.719, 36.297
470, 36.742, 36.304
471, 36.727, 36.311
472, 36.727, 36.311
473, 36.746, 36.311
474, 36.727, 36.311
475, 36.746, 36.319
476, 36.750, 36.326
477, 36.750, 36.326
478, 36.750, 36.326
479, 36.740, 36.333
480, 36.743, 36.340
481, 36.715, 36.340
482, 36.715, 36.347
483, 36.724, 36.347
484, 36.753, 36.347
485, 36.766, 36.355
486, 36.757, 36.362
487, 36.757, 36.362
488, 36.776, 36.362
489, 36.789, 36.369
490, 36.770, 36.376
491, 36.770, 36.376
492, 36.780, 36.376
493, 36.793, 36.384
494, 36.793, 36.391
495, 36.803, 36.391
496, 36.793, 36.391
497, 36.783, 36.391
498, 36.777, 36.398
499, 36.790, 36.405
500, 36.819, 36.405
501, 36.839, 36.405
502, 36.839, 36.412
503, 36.833, 36.420
504, 36.823, 36.420
505, 36.842, 36.420
506, 36.852, 36.427
507, 36.852, 36.427
508, 36.842, 36.427
509, 36.856, 36.434
510, 36.865, 36.441
511, 36.836, 36.441
512, 36.846, 36.441
513, 36.846, 36.441
514, 36.840, 36.448
515, 36.869, 36.456
516, 36.898, 36.456
517, 36.869, 36.456
518, 36.843, 36.463
519, 36.853, 36.470
520, 36.886, 36.477
521, 36.886, 36.477
522, 36.895, 36.477
523, 36.895, 36.477
