Eda Num, Real(Ohm), Image(Ohm), Conductance(uS), Phase(°)
84, 44712.9531, -141790.8125, 6.72613716, -72.4976
85, 44818.2500, -142104.9062, 6.71118546, -72.4953
86, 44549.7695, -141972.9375, 6.72049713, -72.5786
87, 44630.6758, -141840.8438, 6.72509670, -72.5337
88, 33065.2188, -77592.9453, 11.85615444, -66.9194
89, 33207.6094, -78009.4141, 11.79477024, -66.9412
90, 33230.2031, -78048.7422, 11.78850937, -66.9375
91, 33002.2500, -77642.0391, 11.85327244, -66.9718
92, 32085.8125, -76455.0078, 12.06056976, -67.2337
93, 31983.7500, -76537.6016, 12.05522537, -67.3208
94, 32048.8906, -76522.1016, 12.05364990, -67.2752
95, 32100.6875, -76548.9297, 12.04714966, -67.2493
96, 32376.6562, -76757.3359, 12.00389671, -67.1297
97, 32432.5625, -77087.4609, 11.95711422, -67.1823
98, 32558.7812, -77067.3047, 11.95276070, -67.0973
99, 32442.5781, -76909.1484, 11.98009682, -67.1285
100, 32423.6719, -76842.5547, 11.98996544, -67.1227
101, 32456.1953, -76936.2109, 11.97575951, -67.1271
102, 32383.1016, -76856.1797, 11.99042702, -67.1520
103, 32344.6250, -76880.1953, 11.98939133, -67.1828
104, 32455.2656, -76985.2109, 11.96933937, -67.1408
105, 32406.3906, -77038.4766, 11.96502686, -67.1858
106, 32414.2500, -76822.7891, 11.99311066, -67.1234
107, 32460.4531, -76970.5703, 11.97098446, -67.1336
108, 32376.8516, -76852.0078, 11.99132919, -67.1549
109, 32352.1172, -77011.4453, 11.97160816, -67.2130
110, 32363.2812, -76824.9766, 11.99567032, -67.1563
111, 32319.5391, -76809.4453, 12.00017262, -67.1798
112, 32419.4531, -76821.7578, 11.99295712, -67.1198
113, 32437.1094, -76801.9141, 11.99459839, -67.1033
114, 32462.4609, -76940.3516, 11.97486401, -67.1243
115, 32336.1328, -76784.4453, 12.00256538, -67.1626
116, 32407.8984, -76778.0859, 11.99939346, -67.1155
117, 32306.8750, -76693.0234, 12.01635456, -67.1568
118, 32276.9375, -76853.1953, 11.99674320, -67.2185
119, 32372.6719, -76844.7266, 11.99252796, -67.1556
120, 32288.4453, -76924.0078, 11.98671436, -67.2300
121, 32180.1406, -76802.2891, 12.00890160, -67.2663
122, 32233.2812, -76986.5234, 11.98149681, -67.2816
123, 32297.7656, -76876.0859, 11.99254799, -67.2114
124, 32275.9844, -76969.8359, 11.98133755, -67.2501
125, 32259.3281, -77008.4141, 11.97715664, -67.2709
126, 32250.9688, -76939.6484, 11.98672485, -67.2579
127, 32143.7656, -76768.9922, 12.01536083, -67.2806
128, 32262.4062, -76915.6797, 11.98926640, -67.2443
129, 32258.3125, -77030.3203, 11.97431469, -67.2773
130, 32218.6719, -76994.8672, 11.98120213, -67.2930
131, 32086.3906, -76969.8047, 11.99184990, -67.3702
132, 32132.2188, -76968.8047, 11.98944664, -67.3409
133, 32123.8984, -76940.6641, 11.99364090, -67.3387
134, 32188.4688, -76938.6016, 11.99033356, -67.2972
135, 32083.1719, -77035.4453, 11.98332024, -67.3896
136, 32043.7031, -76959.3359, 11.99560165, -67.3945
137, 32184.2969, -76971.9297, 11.98614693, -67.3087
138, 32117.6484, -76950.0234, 11.99274445, -67.3452
139, 32168.7031, -76920.9297, 11.99377632, -67.3051
140, 32033.5625, -76772.0547, 12.02109146, -67.3514
141, 32076.1875, -76768.9609, 12.01913071, -67.3235
142, 32116.7109, -76796.0234, 12.01326942, -67.3049
143, 32155.1719, -76866.7734, 12.00171757, -67.2993
144, 32139.5312, -76937.5391, 11.99318981, -67.3280
145, 32063.6562, -76814.6953, 12.01373482, -67.3436
146, 32104.2031, -76841.7891, 12.00787258, -67.3250
147, 32118.7656, -76833.4766, 12.00817013, -67.3136
148, 32131.2656, -76801.2266, 12.01176643, -67.2971
149, 32137.4844, -76845.9609, 12.00546837, -67.3050
150, 32177.0312, -76827.2578, 12.00575447, -67.2749
151, 32224.8203, -76728.4297, 12.01623631, -67.2183
152, 32244.4297, -76597.5391, 12.03258228, -67.1709
153, 32255.9531, -76695.1641, 12.01892281, -67.1897
154, 32166.5938, -76613.1797, 12.03486347, -67.2246
155, 32252.5938, -76490.6797, 12.04639626, -67.1371
156, 32250.6406, -76574.6953, 12.03528214, -67.1608
157, 32252.5469, -76450.2422, 12.05180931, -67.1263
158, 32154.1250, -76550.9297, 12.04388142, -67.2159
159, 32207.1562, -76721.1797, 12.01818943, -67.2276
160, 32153.1094, -76653.6797, 12.03021240, -67.2439
161, 32224.7500, -76633.8984, 12.02883720, -67.1931
162, 32039.8906, -76695.1641, 12.03100014, -67.3270
163, 31966.2344, -76650.4141, 12.04109287, -67.3620
164, 32038.9062, -76635.9766, 12.03896523, -67.3119
165, 31997.3828, -76644.2266, 12.04018307, -67.3405
166, 32087.6328, -76745.0703, 12.02167797, -67.3099
167, 32185.3516, -76814.7734, 12.00695133, -67.2663
168, 32016.8750, -76810.4766, 12.01689625, -67.3722
169, 32079.2422, -76838.6484, 12.00967884, -67.3400
170, 31995.1094, -76768.8516, 12.02365780, -67.3750
171, 32085.2500, -77045.8828, 11.98182201, -67.3910
172, 31978.2188, -76901.9453, 12.00685596, -67.4209
173, 31989.5469, -76959.2266, 11.99861050, -67.4289
174, 31878.4531, -76862.1484, 12.01768112, -67.4738
175, 32037.5234, -76914.5391, 12.00189781, -67.3866
176, 31916.0156, -76819.6328, 12.02127266, -67.4387
177, 31883.5781, -76888.1797, 12.01392555, -67.4775
178, 31803.6094, -76852.5391, 12.02310181, -67.5189
179, 31880.6953, -76804.9609, 12.02519035, -67.4573
180, 31934.5938, -76872.7266, 12.01316261, -67.4409
181, 31877.7031, -76762.3828, 12.03104496, -67.4480
182, 31837.8125, -76889.0703, 12.01633549, -67.5068
183, 31942.8750, -76887.3047, 12.01076221, -67.4395
184, 31844.2109, -76839.1953, 12.02263927, -67.4896
