Temp Num, Object(℃), Ambient(℃)
0, nan, 32.425
1, 32.687, 32.432
2, 32.687, 32.439
3, 32.681, 32.446
4, 32.681, 32.454
5, 32.734, 32.461
6, 32.737, 32.468
7, 32.730, 32.483
8, 32.740, 32.490
9, 32.774, 32.497
10, 32.764, 32.497
11, 32.764, 32.504
12, 32.787, 32.512
13, 32.777, 32.519
14, 32.780, 32.526
15, 32.770, 32.533
16, 32.774, 32.540
17, 32.787, 32.548
18, 32.797, 32.555
19, 32.810, 32.562
20, 32.800, 32.569
21, 32.823, 32.584
22, 32.847, 32.591
23, 32.827, 32.598
24, 32.840, 32.605
25, 32.840, 32.613
26, 32.870, 32.613
27, 32.920, 32.613
28, 32.913, 32.620
29, 32.926, 32.627
30, 32.936, 32.634
31, 32.950, 32.649
32, 32.953, 32.656
33, 32.963, 32.663
34, 32.996, 32.671
35, 32.966, 32.678
36, 32.959, 32.685
37, 32.993, 32.699
38, 33.022, 32.707
39, 33.036, 32.714
40, 33.019, 32.721
41, 33.009, 32.728
42, 33.012, 32.736
43, 33.022, 32.743
44, 33.056, 32.750
45, 33.026, 32.757
46, 33.026, 32.757
47, 33.069, 32.764
48, 33.079, 32.772
49, 33.092, 32.779
50, 33.102, 32.786
51, 33.115, 32.793
52, 33.109, 32.801
53, 33.129, 32.808
54, 33.152, 32.815
55, 33.152, 32.822
56, 33.165, 32.830
57, 33.145, 32.837
58, 33.135, 32.837
59, 33.158, 32.844
60, 33.158, 32.851
61, 33.172, 32.858
62, 33.192, 32.866
63, 33.195, 32.873
64, 33.188, 32.880
65, 33.188, 32.887
66, 33.221, 32.895
67, 33.211, 32.902
68, 33.192, 32.902
69, 33.205, 32.909
70, 33.195, 32.916
71, 33.218, 32.923
72, 33.218, 32.931
73, 33.261, 32.938
74, 33.261, 32.945
75, 33.245, 32.952
76, 33.288, 32.960
77, 33.278, 32.967
78, 33.258, 32.967
79, 33.291, 32.974
80, 33.301, 32.981
81, 33.304, 32.988
82, 33.284, 32.996
83, 33.308, 33.003
84, 33.347, 33.010
85, 33.351, 33.017
86, 33.341, 33.025
87, 33.351, 33.025
88, 33.351, 33.025
89, 33.354, 33.039
90, 33.357, 33.046
91, 33.400, 33.054
92, 33.410, 33.061
