Eda Num, Real(Ohm), Image(Ohm), Conductance(uS), Phase(°)
16, 76236.0469, -376008.8750, 2.60647798, -78.5386
17, 76212.4844, -376143.2500, 2.60561538, -78.5461
18, 75994.1875, -375848.6250, 2.60787177, -78.5693
19, 76249.7500, -376246.7812, 2.60487628, -78.5437
20, 37059.4492, -114846.0234, 8.28656197, -72.1157
21, 37133.8281, -114951.5078, 8.27810860, -72.0975
22, 37144.5625, -114923.9922, 8.27967739, -72.0887
23, 37076.9805, -114858.4609, 8.28537941, -72.1096
24, 35833.1211, -112860.2578, 8.44507599, -72.3854
25, 35754.5117, -112858.0078, 8.44692326, -72.4213
26, 35691.9727, -112826.7891, 8.45039558, -72.4456
27, 35822.5742, -112945.1641, 8.43953419, -72.4026
28, 36173.4141, -113289.1172, 8.40872478, -72.2916
29, 36136.1992, -113342.2109, 8.40594864, -72.3165
30, 36124.9375, -113260.3984, 8.41170216, -72.3097
31, 36177.2617, -113381.5703, 8.40242004, -72.3034
32, 36110.3672, -113318.8203, 8.40807915, -72.3249
33, 36174.4766, -113295.1328, 8.40829659, -72.2920
34, 36148.0195, -113144.7422, 8.41900826, -72.2821
35, 36243.4766, -113106.2266, 8.41954613, -72.2326
36, 36323.0508, -113135.5234, 8.41584778, -72.2004
37, 36314.8438, -113071.8828, 8.42031956, -72.1947
38, 36416.3320, -113084.8047, 8.41724586, -72.1501
39, 36390.0469, -113024.4141, 8.42189121, -72.1532
40, 36507.6836, -112885.6797, 8.42869949, -72.0786
41, 36575.3359, -112848.7578, 8.42971516, -72.0420
42, 36600.7773, -112766.8047, 8.43469906, -72.0181
43, 36612.1016, -112863.7891, 8.42789268, -72.0274
44, 36568.1680, -112723.2109, 8.43836689, -72.0266
45, 36512.8672, -112742.4453, 8.43827820, -72.0549
46, 36456.8164, -112619.6484, 8.44783688, -72.0624
47, 36590.8711, -112849.0703, 8.42935276, -72.0349
48, 36490.3086, -112857.8516, 8.43096066, -72.0824
49, 36393.8203, -112785.4297, 8.43797398, -72.1161
50, 36380.9609, -112713.5234, 8.44313049, -72.1113
51, 36367.2812, -112740.6797, 8.44158745, -72.1216
52, 36372.3008, -112786.1641, 8.43839455, -72.1261
53, 36368.0312, -112762.2266, 8.44011021, -72.1245
54, 36338.1719, -112820.1172, 8.43683910, -72.1468
55, 36307.1992, -112872.0234, 8.43399811, -72.1687
56, 36245.5039, -112960.3047, 8.42936420, -72.2102
57, 36222.8203, -112797.3203, 8.44089890, -72.1965
58, 36255.2891, -112841.0234, 8.43722820, -72.1880
59, 36209.5039, -112966.6797, 8.42971420, -72.2277
60, 36187.2227, -112840.7109, 8.43873119, -72.2193
61, 36134.6602, -112840.7266, 8.43987274, -72.2435
62, 36218.6641, -112931.0234, 8.43192863, -72.2182
63, 36131.1602, -112785.6953, 8.44368362, -72.2370
64, 36262.0312, -112583.4453, 8.45457268, -72.1468
65, 36443.6133, -112563.3516, 8.45195198, -72.0601
66, 36466.4297, -112432.7266, 8.46033382, -72.0301
67, 36560.2500, -112252.4453, 8.47054291, -71.9597
68, 36662.4492, -112255.4609, 8.46806431, -71.9130
69, 36712.5742, -112175.4922, 8.47239971, -71.8779
70, 36733.1328, -112153.2422, 8.47345829, -71.8650
71, 36694.3750, -112126.4609, 8.47615337, -71.8789
72, 36831.7695, -112153.6641, 8.47122383, -71.8196
73, 36565.4922, -112094.5234, 8.48121262, -71.9336
74, 36631.5430, -112254.9297, 8.46878815, -71.9272
75, 36628.5469, -112357.1953, 8.46188736, -71.9440
76, 36651.0586, -112362.3359, 8.46103764, -71.9344
77, 36669.2383, -112208.0234, 8.47114754, -71.9028
78, 36735.3164, -112165.1797, 8.47259521, -71.8658
79, 36793.9805, -111914.4141, 8.48841572, -71.8008
80, 36950.5625, -111913.2266, 8.48496819, -71.7283
81, 36927.4531, -111705.4922, 8.49971676, -71.7072
82, 36956.2773, -111678.6797, 8.50090218, -71.6898
